Datetime,Text,Username,Retweets,Location,Hashtags
09:12:31 23:44:49,The #Corruption of #Bailouts &gt; http://bit.ly/64A5y6 #endthefed #fed #ronpaul #randpaul,darkpolitricks,0,London,"['Corruption', 'Bailouts', 'endthefed', 'fed', 'ronpaul', 'randpaul']"
09:12:31 21:12:32,RT @Reuters: U.S. court tosses BAE #bribery suit to Britain http://link.reuters.com/vaw39g #corruption,srubenfeld,0,New York,"['bribery', 'corruption']"
09:12:31 20:51:44,"CORRUPTION WATCH = Barney Frank, Predatory Lender http://is.gd/4nSfT #watchdog #corruption #tcot #ocra #sgp #rightriot #iamthemob",papagoldwater,0,,"['watchdog', 'corruption', 'tcot', 'ocra', 'sgp', 'rightriot', 'iamthemob']"
09:12:31 20:29:53,RT @the_912_project RT @bobbi85710 Babs Boxer Subsidizing Relatives with Campaign Contribs-RedState http://ow.ly/Rr4Y #tcot #corruption,TallulahStarr,0,Land of the Free,"['tcot', 'corruption']"
09:12:31 20:28:32,RT @bobbi85710 Barbara Boxer Subsidizing Relatives with Campaign Contributions - RedState http://ow.ly/Rr4Y #tcot #tlot #sgp #corruption,the_912_project,0,"Iowa, USA","['tcot', 'tlot', 'sgp', 'corruption']"
09:12:31 20:14:01,"Damn...niggas got to ya RT @BritMichele89: Also, i just want everyone to know that i never said ""nigga"" before i got to the AUC #corruption",DrDreddyMurphy,0,Hank Aaron’s Dawg Park,['corruption']
09:12:31 19:50:25,Movie Urban Justice and Reservation Road http://imjn.cli.gs/rLuVhv #corruption,laterzapsng,0,,['corruption']
09:12:31 18:23:29,Lawyers say woman would be at suicide risk if extradited to US. http://bit.ly/3iQF5L #Extradition #Police #Corruption #Government,FredHeart,0,London UK,"['Extradition', 'Police', 'Corruption', 'Government']"
09:12:31 18:23:08,Lawyers say woman would be at suicide risk if extradited to US. http://bit.ly/3iQF5L #Extradition #Police #Corruption #Government,activi,0,England,"['Extradition', 'Police', 'Corruption', 'Government']"
09:12:31 18:22:59,Lawyers say woman would be at suicide risk if extradited to US. http://bit.ly/3iQF5L #Extradition #Police #Corruption #Government,Kerry_Howes,0,Scotland,"['Extradition', 'Police', 'Corruption', 'Government']"
09:12:31 17:51:37,"RT @NorsU RT @JoeKenHa ""ACORN: Association of Criminals Obama Represented in the Nineties"" #tcot #ocra #p2 #tlot #masen #corruption",Tigerstooth,0,Everywhere,"['tcot', 'ocra', 'p2', 'tlot', 'masen', 'corruption']"
