,Text,Datetime,Location,Hashtags
18,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:31 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
97,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  20 ,17:12:31 18:40:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
168,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  17 ,17:12:31 15:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
208,helloworld meet your next politician the levels of bribery and corruption to get this hairdid is poor savage chocolates popcorn  she looks beautiful though daddyslittlegirl   got skills shedoes ,17:12:31 12:45:58,"Roodepoort, South Africa","['HelloWorld', 'politician', 'bribery', 'corruption', 'hairDid', 'savage', 'chocolates', 'popcorn', 'beautiful', 'daddyslittlegirl', 'shedoes']"
278,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:31 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
309, ramaphosa has been at best a silent dp and at worst a complicit one instead of fighting corruption amp statecapture he spent most of 2017 on the campaign trail in his bid to be elected president of the anc showing that he cares only for his own fortunes amp not sa s ,17:12:31 06:53:53,"Johannesburg, South Africa","['Ramaphosa', 'Corruption', 'StateCapture', 'ANC']"
330,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:31 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
343,"he will be attacked and demonized for his rhetoric on ret

he must however admit that his failure to implement commission of inquiry into corruption is inexcusable

his freeeducation very noble but was motivated by politics more than benefit for people because of timing ",17:12:31 05:03:20,South Africa,"['RET', 'Corruption', 'FreeEducation']"
354,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:31 04:10:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
379,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:31 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
408,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:31 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
436,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:30 23:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
449,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:30 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
495,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  22 ,17:12:30 20:40:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
