Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 23:59:15,"Take a minute and go vote for us for Best Bouncers and Best Rock Club! #boc2018 #vote
Vote:… https://t.co/1KNGc4FPr9",MusicFarm,0,"32 Ann St. Charleston, SC","['boc2018', 'vote']"
17:12:31 23:59:02,#NewYearsEve is such an exciting time!! #Latinos are getting energized about 2018 - our chance to #VOTE . Same word (same powerful results) both in English and Spanish! Register early.,LatinosMatter,0,USA,"['NewYearsEve', 'Latinos', 'VOTE']"
17:12:31 23:58:20,Midterms are just around the corner and the fact they didn't vote for the tax cut says it all. You can help more people than the government can.  #Republican #Vote #HelpMorePeople https://t.co/a6vYmtvgas,danielhalseth,0,"Dallas, TX","['Republican', 'Vote', 'HelpMorePeople']"
17:12:31 23:57:33,"@SahanMandiraci @coin_bulten Oylamada 2. Sırada binancede kazanırsa oylamayı binance ye girecek. 

#XP #Cryptocurrency every #vote is #important. Let's get #XP to #Binance. Vote here ➡️ https://t.co/vdHCKIiad4 ⬅️ At the end of #voting we will distribute #XP #Bounty - posted at $XP #Discord",kilicaslan_tr,0,Türkiye,"['XP', 'Cryptocurrency', 'vote', 'important', 'XP', 'Binance', 'voting', 'XP', 'Bounty', 'Discord']"
17:12:31 23:55:55,Take a minute and go vote for us for Best Bouncers and Best Rock Club! #boc2018 #vote https://t.co/1KNGc4oezB,MusicFarm,0,"32 Ann St. Charleston, SC","['boc2018', 'vote']"
17:12:31 23:55:19,"#Resist 
#Vote
#2018isComing https://t.co/nUpo8c6af1",TheRealRealTCL,0,Your dreams,"['Resist', 'Vote', '2018isComing']"
17:12:31 23:51:06,@conorsen Voter Registration forms/instructions make great 18th birthday gifts! #vote #yourvoteyourvoice #register #electionready2018,yourjennyrose,4,"Indianapolis, IN ","['vote', 'yourvoteyourvoice', 'register', 'electionready2018']"
17:12:31 23:49:04,#Vote! It matters. 👇 https://t.co/wMRv8MOS5a,RunRichRun,0,AnthropocenePhillyLënapehòkink,['Vote']
17:12:31 23:48:26,One of the easiest &amp; most rewarding resolutions is to commit to becoming an informed voter. You'll model civic engagement while electing leaders you support &amp; strengthening democracy! Add voting to your list! #txed #vote @TeachTheVote @Texans4E @pastors4txkids @TACSnet @tasbnews https://t.co/0VoMFXTUob,TxEdVote,122,"Austin, TX","['txed', 'vote']"
17:12:31 23:19:20,@realDonaldTrump 2018 will be an even great year when Donnie is impeached and the fall elections reclaim our nation. #ImpeachTrumpANDPenceNow #FlipItBlue #Vote #resist #tw,gailphardie,0,"Mount Pleasant, SC","['ImpeachTrumpANDPenceNow', 'FlipItBlue', 'Vote', 'resist', 'tw']"
17:12:31 23:16:44,#Georgia #GA #election #vote https://t.co/OQi1MykXZ5,suzrdg,0,Los Angeles,"['Georgia', 'GA', 'election', 'vote']"
17:12:31 23:16:22,#Georgia #GA #election #vote https://t.co/zhfeUL1DBt,suzrdg,0,Los Angeles,"['Georgia', 'GA', 'election', 'vote']"
