,Text,Datetime,Location,Hashtags
0,thiefinchief zuma corruption leadership 0,17:12:31 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1,thiefinchief zuma corruption leadership 20,17:12:31 18:40:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2,thiefinchief zuma corruption leadership 17,17:12:31 15:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3,helloworld meet next politician levels bribery corruption get hairdid poor savage chocolates popcorn looks beautiful though daddyslittlegirl got skills shedoes,17:12:31 12:45:58,"Roodepoort, South Africa","['HelloWorld', 'politician', 'bribery', 'corruption', 'hairDid', 'savage', 'chocolates', 'popcorn', 'beautiful', 'daddyslittlegirl', 'shedoes']"
4,thiefinchief zuma corruption leadership 10,17:12:31 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
5,ramaphosa best silent dp worst complicit one instead fighting corruption statecapture spent 2017 campaign trail bid elected president showing cares fortunes,17:12:31 06:53:53,"Johannesburg, South Africa","['Ramaphosa', 'Corruption', 'StateCapture', 'ANC']"
6,thiefinchief zuma corruption leadership 7,17:12:31 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
7,attacked demonized rhetoric ret must however admit failure implement commission inquiry corruption inexcusable freeeducation noble motivated politics benefit people timing,17:12:31 05:03:20,South Africa,"['RET', 'Corruption', 'FreeEducation']"
8,freefall tipping point turning point politics corruption 6,17:12:31 04:10:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
9,freefall tipping point turning point politics corruption 4,17:12:31 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
10,thiefinchief zuma corruption leadership 2,17:12:31 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
11,freefall tipping point turning point politics corruption 1,17:12:30 23:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
12,thiefinchief zuma corruption leadership 0,17:12:30 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
13,thiefinchief zuma corruption leadership 22,17:12:30 20:40:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
14,thiefinchief zuma corruption leadership 20,17:12:30 18:40:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
15,thiefinchief zuma corruption leadership 19,17:12:30 17:05:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
