Text,Datetime,Location,Hashtags,polarity,subjectivity
lyn see many years anc rulenot leadership 20 years corruption moved 1 voting,14:11:14 17:59:09,Pretoria,['ANC'],0.5,0.5
thats crime humanity corruption legal saanc rig votes 2016 shares iec,14:11:13 19:19:29,Johannesburg,['ANC'],0.2,0.2
welcome anc power would vote stop corruption cadres power selfish start delivering,14:11:27 07:20:57,South Africa,['ANC'],0.15000000000000002,0.95
clear im voting lges institutional corruption acceptable anc,14:10:31 06:03:45,"Johannesburg, South Africa",['ANC'],0.10000000000000002,0.3833333333333333
eff faces testing timenot voters courts malemas corruption case heard,14:09:30 06:11:31,"Cape Town, South Africa","['EFF', 'Malema']",0.0,0.0
residents kuruman must understand culture corruption within anc must allow kids school vote eff 2016 locals,14:09:08 06:33:36,South Africa,['EFF'],0.0,0.0
anc accused bribing voters state funds muni byelections corruption,14:09:18 04:28:08,South Africa,"['ANC', 'corruption', 'SA']",0.0,0.0
govt launches r34m patriotism drive time corruption voting anc patriotic thing,14:07:17 19:13:11,"Pretoria, South Africa","['Corruption', 'ANC']",0.0,0.0
anc gauteng admitted lost middle class support may elections etolls corruption government inefficiency,14:10:03 04:20:50,"Durban, South Africa","['ANC', 'etolls']",0.0,0.0
exodus press dontvoteanc luthuli house palace corruption anc,14:10:12 08:00:35,South Africa,"['DontVoteANC', 'ANC']",0.0,0.0
anc protects corruption rt nkandla anc voted motion na zuma called appear ad hoc committee,14:10:23 13:57:04,South Africa,"['Nkandla', 'ANC']",0.0,0.0
thinking president zuma really brings tears eyes find cursing anc voters lately corruption,14:09:29 07:57:21,"Umlazi, South Africa","['Zuma', 'ANC', 'corruption']",-0.04999999999999999,0.4
corruptionwatch says zuma ancs disregard office publicprotector among obstacles corruption voters change,14:08:20 07:41:31,"Cape Town, South Africa","['CorruptionWatch', 'Zuma', 'ANC', 'PublicProtector']",-0.05,0.0
anc treating poor disrespect didnt queue vote bussed parly defendstabilise corruption parlychaos,14:08:27 12:23:35,"Pretoria, South Africa","['ANC', 'ParlyChaos']",-0.4,0.6
newage voters still support anc gov corruption scale worse apartheid oppression,14:09:29 20:27:29,Vereeniging,"['ANC', 'Corruption', 'apartheid']",-0.4,0.6
opposed etoll corruption anc either powerless pretends care 2016electioncampaign launch,14:10:06 04:58:22,"South Africa, Vereeniging ","['ANC', '2016ElectionCampaign']",-0.5,0.9
corruption vote rigging anc best anc54,17:12:17 05:20:57,South Africa,"['ANC', 'ANC54']",1.0,0.3
anc really must sort whole election system uncontrolled perfect corruption manipulation perhaps deliberately branch delegates must mandated advance branch choices exposed lobbying bribery democracy joke,17:12:18 03:22:46,Cape Town,['ANC'],0.4666666666666666,0.5333333333333333
