Text,Datetime,Location,Hashtags
anc treasurer certain party win next elections decisively economy enough support lower middle class funny since 2008 support ive gotten loadshedding schedule reality,22:11:29 10:00:06,"Johannesburg, South Africa","['ANC', 'SouthAfrica']"
mgazi paul needs support ndz22 wants anc win 2024election opposition parties fail find faults inkosazana striking 3 birds one stone 1 female president 2 winning 2024 3 delivery masses,22:11:29 07:31:49,South Africa,"['NDZ22', 'ANC', '2024Election']"
important anc voted power screwing matter supposed second line messing country,22:11:28 20:52:28,"Cape Town, South Africa",['ANC']
anc getting deeper situation able decline offer seceding cape cape republic 4 5 times better fiscally western cape settle significant portion sas national debt votecapexit2024 secession,22:11:28 18:56:31,"Langebaan, Western Cape, SA","['VoteCAPEXIT2024', 'Secession']"
spending 30 years devoted anc working towards anc4all empowering youth small businesses marginalized communities alike support fj22 nec campaign joining friends faiez whatsapp group fj22 anc4all generationalmix,22:11:28 14:01:03,"Cape Town, South Africa","['ANC4ALL', 'FJ22', 'ANC4ALL', 'GenerationalMix']"
well duh people voting december cadres matter wins anc victorious big losers ordinary south africans stuck useless looting anc govt vote 2024 voetsekanc renew22segat,22:11:28 12:48:57,"Johannesburg, South Africa","['VoetsekANC', 'Renew22seGat']"
victorian voters anc voters nocureforstupidity,22:11:28 08:04:57,Cape Town,['nocureforstupidity']
headline ahead ancs national conference next month analysts say future party needs crossexamined voting delegates sabcnews,22:11:28 03:04:25,"Durban, South Africa","['Headline', 'sabcnews']"
anc ward 4 byelections siyanqoba rally merafong west rand remmogo ancgplcaucus2022 growinggautengtogether,22:11:27 17:42:39,"Johannesburg, South Africa","['ReMmogo', 'ANCGPLCaucus2022', 'GrowingGautengTogether']"
anc caucus gpl continuing election work attending siyanqoba rally ward 4 byelections merafong west rand remmogo ancgplcaucus2022 growinggautengtogether,22:11:27 17:02:35,"Johannesburg, South Africa","['ReMmogo', 'ANCGPLCaucus2022', 'GrowingGautengTogether']"
im even surprised capecoloureds dont matter mos never hope cape coloured people south africa keeps voting anc wakes,22:11:27 16:11:48,"Cape Town,South Africa",['CapeColoured']
south african government anc recognise dictatorships go cap hand british money hypocrisy government unbelievable trust hold free fair elections 2024,22:11:27 15:31:39,"Cape Town, South Africa",['ANC']
two anc mangaung regional conference bloemfontein free state delegates nominating members regions top five leadership voting set start thereafter watch newzroom405,22:11:27 13:53:14,South Africa,['Newzroom405']
anc led merafong municipallity useless people without electricity weeks theyre buying cables replace stolen ones children filling potholes sand midst traffic sewerage running rivers voteanc,22:11:27 13:31:43,"Carletonville, South Africa",['VoteANC']
asked investigative journalist church members ancconference voting delegates might find majority even anc members try another angle,22:11:27 10:35:07,South Africa,['ANCConference']
anc manguang regional conference expected see nominations voting regions top 5 leadership newzroom405s reports watch,22:11:27 09:09:06,South Africa,['Newzroom405']
man returns anc president simple means 4000 odd delegates care well black majority value money country vote wisely 2024 phalaphalafarmgate,22:11:27 07:32:49,South Africa,['PhalaPhalaFarmGate']
