Text,Datetime,Location,Hashtags
remember support fantastic work vote continue progress dont corruption return anc,17:12:31 05:49:18,South Africa,['ANC']
zumaimpeachment opposition parties would want zuma recalled damage anc staying office recalling allow anc time rebuild image next election,17:12:30 18:46:24,"Milnerton, South Africa","['ZumaImpeachment', 'ANC']"
vote anc dasmalema president south africa,17:12:30 15:41:47,South Africa,['ANC']
must vote motion shall vote motion anc best unconstitutional criminal savages protecting godfather comrade zuma783,17:12:29 20:14:38,"Gauteng, South Africa","['ANC', 'Zuma783']"
excitement zumaimpeachment process restarting really anc 2019 elections,17:12:29 11:04:54,Johannesburg,"['ZumaImpeachment', 'ANC']"
time get city sharpeville work people anc failed time vote da look forward 2019,17:12:28 09:37:40,"Cape Town, South Africa","['Sharpeville', 'ANC', 'DA']"
get city sharpeville work vote da anc time prove failed look forward backwards,17:12:28 09:34:45,"Cape Town, South Africa","['Sharpeville', 'DA', 'ANC']"
believe ramaphosas victory master stroke anc sure anc increasing shift left win votes 2019 cyril support opposition parties also da comes family,17:12:28 07:51:01,"Johannesburg, South Africa","['Ramaphosa', 'ANC']"
hope nec ask president resign people lost faith anc government vote,17:12:28 06:42:45,"Nelspruit, South Africa",['ANC']
motho think logically guys really think every black person going given land based colour skin voting ploy gain votes lied vote anc 2019 doesnt happen,17:12:27 14:03:40,"Cape Town, South Africa",['ANC']
cheers perfect ramaphosa wins anc elections media finds blame zuma foolish thing encounter wmcstooges work,17:12:27 07:19:22,South Africa,"['Ramaphosa', 'ANC', 'Zuma', 'WMCStooges']"
asking anc ever lose elections,17:12:26 11:35:05,South Africa,['anc']
anc goes 2019 national elections two centres power zuma head government ramaphosa head partyanc remain paralysed little progress made turning around public services cleaning soes tackling corruption,17:12:25 20:47:26,Johannesburg,['ANC']
wierzycka longer zuma stays votes anc lose,17:12:24 17:59:57,"Johannesburg, South Africa","['Zuma', 'ANC']"
wierzycka think totally zuma call whether stays goesthey dont need advice megdaso stop trying political analyst stop thinking votes anc zuma done enough things south africa supportzuma,17:12:24 10:21:59,South Africa,"['zuma', 'ANC', 'Zuma', 'SupportZuma']"
please anc recall zuma opposition need votes bring win election2019,17:12:24 06:17:06,South Africa,"['ANC', 'Zuma', 'Election2019']"
actual votes anc top 6 anc top6 press,17:12:23 21:05:03,South Africa,"['ANC', 'top_6']"
barcelona wins elclasicosa ramaphosa wins anc presidential election week santa made christmas already,17:12:23 13:54:24,Johannesburg,"['Barcelona', 'elclasicoSA', 'ANC']"
mr ramaphosa inadvertently gave hint difficult task ahead may smile faded results vote leadership positions trickled struggle ahead anc leader,17:12:23 12:22:38,Johannesburg,['ANC']
must u anc member year u must ascend john langalibalele dube heritage site first president anc also madiba voted first time time one thing mind saved republic anc,17:12:23 11:58:00,Cape Town,['ANC']
jacob zuma anc weak opponents best interests da eff kept power gained votes daft planning however best interests currency,17:12:23 11:53:26,South Africa,"['ANC', 'DA', 'EFF', 'Power', 'Daft', 'Planning', 'SouthAfrica']"
landexpropriation voting anc understand much liability land actually title deed doesnt make rich much anc eff understand,17:12:23 11:48:11,South Africa,"['LandExpropriation', 'ANC', 'ANC', 'EFF']"
eff give anc necessary votes get us land resources soon done compete governance checkmate,17:12:23 11:40:51,"Cape Town, South Africa","['EFF', 'ANC', 'CheckMate']"
anc would downgrade israeli embassy rather whoring bed known terrorist organization hamas says plenty antichrist godless immoral organisation never vote,17:12:22 23:26:57,Cape Town,"['ANC', 'Hamas']"
agri sector reacts ramaphosa election anc president,17:12:22 17:40:39,"Mooi River, South Africa","['Agri', 'Ramaphosa', 'ANC', 'president']"
eff votes along da landexpropriation issue spite anc anc54,17:12:22 12:39:13,South Africa,"['EFF', 'LandExpropriation', 'ANC', 'ANC54']"
right time newly elected top 6 take actions president zuma inquiry statecapture theyll also building strong bond anc sas citizens regarding 2019 elections,17:12:22 10:15:34,South africa ,"['StateCapture', 'ANC', 'SA']"
anc resolved nhi polokwane 10 yrs later still talking modalities landexpropriation catchphrase elections cr17 much eager ndp anything else implemented,17:12:22 09:12:12,south africa,"['ANC', 'LandExpropriation', 'CR17', 'NDP']"
anc successfully run democratic country half elected leaders virtue corrupt zuma cronies vote buying recallzuma ancnec,17:12:22 06:51:50,South Africa,"['ANC', 'Zuma', 'RecallZuma', 'ANCNEC']"
delegates limpopo kwazulunatal demanding votes added final top six tally could see magashule ousted secretarygeneral anc,17:12:22 06:51:00,"Bloemfontein, South Africa","['Magashule', 'ANC']"
never vote anc cr17 make anc includes corrupt thieves besides history testimony never change organisation inside outyou simply need leave,17:12:22 06:09:32,Cape Town,"['ANC', 'ANC']"
jimmy victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:21 18:54:30,South Africa,"['Jimmy', 'CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']"
rand rose yesterday buoyed positive sentiment election cyril ramaphosa anc leader,17:12:21 17:00:04,"Johannesburg, South Africa","['Ramaphosa', 'ANC']"
anc preceeding landreform policy still future voting anc da money rule,17:12:21 16:29:50,"Cape Town, South Africa","['ANC', 'LandReform', 'SA', 'Anc']"
anc decides israel embassy downgrade ahead jerusalem vote,17:12:21 14:37:50,South Africa,"['ANC', 'Israel', 'Jerusalem']"
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:21 14:32:12,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']"
agree mayi also thinking voting eff 2019 anymore anc back theres hope,17:12:21 14:27:56,Johannesburg,"['EFF', 'ANC']"
anc resolved da land issue cos u idiots voted expropriation land without compensation cic raised parliament mugabe simon mofokeng zuma come 2019 anc,17:12:21 14:12:40,"Sebokeng, South Africa",['ANC']
opposition parties busy making noise anc instead working hard convince voter vote come 2019 national polls,17:12:21 11:18:32,"Temba, South Africa",['ANC']
much mischievous acts efforts collapse anc54conference judiciarycapture judje mlambo fabricius votesrejection free state kwazunatal north west ramaphosa tried every dirty tricks win post anc president,17:12:21 09:49:52,South Africa,"['ANC54Conference', 'judiciarycapture', 'votesrejection', 'ramaphosa', 'ANC']"
ramaphosa lead anc lose 2019 elections agenda except loot corruption ndz agenda ret freeeducation upliftment natives poor vote ndz womanizer anc54 wierzycka,17:12:21 08:28:19,"Johannesburg, South Africa","['Ramaphosa', 'ANC', 'NDZ', 'RET', 'FreeEducation', 'ANC54']"
knives president zuma election anc leadership headed cyril ramaphosa,17:12:21 08:03:13,"Johannesburg, South Africa","['Zuma', 'ANC', 'Ramaphosa']"
anc votes downgrade embassy israel support palestine via,17:12:21 07:24:48,South Africa,"['ANC', 'Israel', 'Palestine']"
ramaphosa lead anc lose 2019 elections agenda except loot corruption ndz agenda ret freeeducation upliftment natives poor vote ndz womanizer anc54,17:12:21 06:52:32,"Johannesburg, South Africa","['Ramaphosa', 'ANC', 'NDZ', 'RET', 'FreeEducation', 'ANC54']"
fact powerful zuma nec powerful constitution powerful anc eff da udm ready court battle law breakers zupta ramaphosa test b4 2019elections,17:12:21 06:49:33,South Africa,"['Zuma', 'NEC', 'Constitution', 'ANC', 'EFF', 'DA', 'UDM', '2019Elections']"
vusi couldnt put better ancs system asks trouble leader contend rubbish voted onto hasnt picked,17:12:21 06:32:09,capetown,['ANC']
anc promises sans heaven earth rooting corruption yet failed deal one smallanyana scandal 68missingvotes look nec54 expect us take seriously oh please anc respect us toe deserve better amlive,17:12:21 06:19:41,"Durban, South Africa","['ANC', '68MissingVotes', 'NEC54', 'ANC', 'AMLive']"
anc vhembe regional secretary limpopo anderson mudunungu says voting delegates whose votes allegedly unaccounted free take matter court anc54 full story,17:12:21 05:51:06,South Africa,"['ANC', 'ANC54']"
lot nec anc delegates elected underperformed compromised one another remain popular say something quality voting delegates,17:12:21 05:48:39,"Cape Town, South Africa","['NEC', 'ANC']"
anc54 failure self correction senzomchunu secretary general position 68missingvotes scandal evident enough clean good corrupt anc anc loves enjoy corruption deserves better come 2019 amlive,17:12:21 05:08:32,"Durban, South Africa","['ANC54', 'SenzoMchunu', '68MissingVotes', 'ANC', 'ANC', 'AMLive']"
branch voting open corruption intimidation provincial barons manipulating numbers gupta zuma mafia stooges stealing election conference anc jurassic park,17:12:21 03:45:29,South Africa,"['Gupta', 'Zuma', 'ANC']"
must forget good governance people commit fraud votes anc sg doomed,17:12:21 03:07:15,South Africa,['ANC']
anc 54 votes nec going loks like toe toe cr ndz factions deepening divisions,17:12:21 01:22:13,Johannesburg,['ANC']
anc needs 23 majority change constitution land obviously need eff vote theyll act fast lose power 2019elections,17:12:20 21:50:36,"Cape Town, South Africa","['ANC', 'Constitution', 'EFF', '2019Elections']"
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:20 21:16:06,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']"
anc like bathabiledlameni saying feminist voter fodder anc doesnt move sharply toward left knows lose majority eff purepolitics existing law allows need const amendment talkleftwalkright,17:12:20 21:15:17,"Cape Town, South Africa","['ANC', 'BathabileDlameni', 'EFF', 'PurePolitics', 'TalkLeftWalkRight']"
anc like bathabiledlameni saying feminist voter fodder anc make strong moves toward left lose majority eff purepolitics existing law allows need amendment talkleftwalkright,17:12:20 21:09:11,South Africa,"['ANC', 'BathabileDlameni', 'PurePolitics', 'TalkLeftWalkRight']"
news coming 17 68 votes valid senzomchunu still wouldnt acemagashule remains anc secretary general anc54,17:12:20 20:34:48,"Pretoria, South Africa","['SenzoMchunu', 'AceMagashule', 'ANC', 'ANC54']"
kudus mamas anc anc54 nasrec ancvotes anc54 ancwl ancyl,17:12:20 20:05:46,"Cape Town, South Africa","['ANC', 'ANC54', 'Nasrec', 'ANCVotes', 'ANc54', 'ANCWL', 'ANCYL']"
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:20 18:12:30,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']"
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:20 17:54:41,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']"
lawyers anc responded letter demand socalled missing 68 voters inviting meeting luthuli house later week,17:12:20 17:18:18,"Bloemfontein, South Africa",['ANC']
bathong minister bathabile dlaminis pic upsidedown really guys purpose provoking spirits anina peace shem bazalwane ba kwa dailymaverick anc54 anc54nationalconference ancwl anc ancvotes anc54nationalconference,17:12:20 16:49:29,South Africa,"['DailyMaverick', 'ANC54', 'ANC54NationalConference', 'ANCWL', 'ANC', 'ANCVotes', 'ANC54NationalConference']"
bathong minister bathabile dlaminis pic upsidedown really guys purpose provoking spirits anina peace shem bazalwane ba kwa dailymaverick anc54 anc54nationalconference ancwl anc ancvotes anc54nationalconference,17:12:20 16:48:57,South Africa,"['DailyMaverick', 'ANC54', 'ANC54NationalConference', 'ANCWL', 'ANC', 'ANCVotes', 'ANC54NationalConference']"
anc anc54 make simple ruling missing 68 votes issues drags thats anc cannot decisive corruption many guilty,17:12:20 16:40:39,Cape Town,"['ANC', 'ANC54', 'ANC', 'Corruption']"
anc concerned issue missing votes anc54 themoneyshow,17:12:20 16:28:52,"Gauteng, South Africa","['ANC', 'ANC54', 'TheMoneyShow']"
anc best 25th anc national conference cz true faces revealed ramaphosa didnt even left voting election committee successful capturing everything go honest graceful manner,17:12:20 15:47:31,South Africa,"['ANC', 'Ramaphosa']"
emerges management key anc events sold inner circle allow elements like bontle mpakanyane profit anc54 electioncapture ndamane,17:12:20 14:57:16,South Africa,"['ANC', 'ANC54', 'Electioncapture']"
must stood behind voting get zuma must anc come 2019,17:12:20 14:33:35,"Durban, South Africa","['Zuma', 'ANC']"
deal beginning real state capture false allegations zuma false state capture victory demonstrates fall grace capture power anc anc54 electioncapture,17:12:20 12:28:05,"Randburg, South Africa","['SA', 'ANC', 'ANC54', 'Electioncapture']"
magashule survives vote recount 9 votes remain anc sg gtgtgtgt news acemagashule senzomchunu anc ancconference politics,17:12:20 11:56:47,"Port Elizabeth, South Africa","['news', 'acemagashule', 'senzomchunu', 'ANC', 'ANCConference', 'politics']"
anc vote count produce different results cr17 anc54 ancconference ancelectiveconference2017,17:12:20 11:04:19,"Mpumalanga, South Africa","['ANC', 'CR17', 'ANC54', 'ANCConference', 'ANCElectiveConference2017']"
african national congress anc confirmed voting partys national executive committee,17:12:20 10:23:58,Cape Town,"['ANC', 'voting']"
organization anc cant run conference properly surprised mess correct thing vote gang next elections grootman68 still sg also known acemagashule,17:12:20 10:21:01,Johannesburg,"['ANC', 'AceMagashule']"
anc54 reported senzo mchunu given 15 68 omitted votes position secretarygeneral return ace magashule remain secretarygeneral anc,17:12:20 10:18:50,"Johannesburg, South Africa","['ANC54', 'ANC']"
anc54 senzo mchunu met anc president cyril ramaphosa regarding reports missing votes,17:12:20 10:15:14,South Africa,"['ANC54', 'ANC']"
zuma gupta mafia always going steal election duarte mokonyane dirty work anc rigged election,17:12:20 10:12:26,South Africa,"['Zuma', 'Gupta', 'Duarte', 'Mokonyane', 'ANC']"
anc cake continues crumble wont surprised split 2 different parties contest 2019 elections,17:12:20 10:06:32,"Johannesburg, South Africa",['ANC']
anc54 anc members believe recount would affect outcome election post secretarygeneral free state premier ace magashule defeated former kzn secretarygeneral senzo mchunu small margin via,17:12:20 10:04:27,South Africa,"['ANC54', 'ANC']"
anc security supervision president cyril ramaphosa anc security corrupt entire blame go ramaphosa zuma stop creating fake propaganda propagandamedia anc54 electioncapture,17:12:20 09:18:57,South Africa,"['ANC', 'ANC', 'Ramaphosa', 'PropagandaMedia', 'ANC54', 'Electioncapture']"
incredulous think anc vote acemagashule problems morality runs deep,17:12:20 09:18:36,South Africa,"['ANC', 'AceMagashule']"
anc54 could anc handing 2019 us voteda,17:12:20 09:12:31,South Africa,"['ANC54', 'ANC', 'VoteDA']"
guptas invest much zuma want control state anc via ace whats gain vele 68votes ancelectiveconference,17:12:20 08:48:03,"Johannesburg, South Africa","['ANC', '68Votes', 'ANCElectiveConference']"
anc54 68votes issue resolved ancconference opposition party eff national chairperson mpofu reportedly lead court challenge brought anc delegates surrealistic,17:12:20 08:38:43,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
anc54 68votes issue stirred deliberately resolved ancconference reported opposition party eff national chairperson mpofu lead court challenge brought anc delegates surrealistic,17:12:20 08:31:53,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
anc senzo mchunu must let go 68 vote concentrate kzn premiership peche winning,17:12:20 08:28:56,Cape town,['anc']
anc54 68votes issue resolved ancconference reported opposition party eff national chairperson mpofu lead court challenge brought anc delegates surrealistic,17:12:20 08:28:11,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
anc54 68votes issue resolved ancconference reported opposition party eff national chairperson mpofu lead court challenge brought anc delegates surrealistic,17:12:20 08:21:08,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
emerges management anc events sold inner circle cyril ramaphosa allow elements like bontle mpakanyane profit secure win electioncapture anc54,17:12:20 08:16:51,South Africa,"['ANC', 'Electioncapture', 'ANC54']"
whatever supra smoking worse bathabile dlamini drinks reelection whatanc,17:12:20 07:35:00,"south africa,JHB",['ANC']
