Text,Datetime,Location,Hashtags,polarity,subjectivity,Unnamed: 0
anc 6527 da 1637 cope744 ifp 502 id 097 vf 092 udm 090 saelections 70votes counted,2022-11-29 17:45:34,Pretoria,"['ANC', 'DA', 'COPE', 'IFP', 'ID', 'VF', 'UDM', 'saelections']",0.0,0.0,
anc6527da1637cope744saelectionsanc,2022-11-29 17:38:53,Pretoria,"['ANC', 'saelections']",0.0,0.0,
rt lol anc election poster stencil,2022-11-29 08:51:32,"Cape Town, South Africa",['anc'],0.8,0.7,
lol anc election poster stencil,2022-11-29 08:46:08,"Johannesburg, South Africa",['anc'],0.8,0.7,
domestic worker says motherwell pe anc going door2door offering buy peoples groceries 2 get vote,2022-11-29 14:56:07,"Cape Town, South Africa",['ANC'],0.0,0.1,
rt domestic worker says motherwell pe anc going door2door offering buy people groceries 4 thr vote saelections,2022-11-29 11:57:47,cape town,"['ANC', 'saelections']",0.0,0.1,
domestic worker says motherwell pe anc going door2door offering buy peoples groceries 2 get vote saelections,2022-11-29 11:34:55,"Cape Town, South Africa","['ANC', 'saelections']",0.0,0.1,
retweet regards sapolitics shall vote anc cant cope excellent slogan tshirt material,2022-11-29 19:14:12,"Cape Town, South Africa","['SApolitics', 'ANC']",1.0,1.0,
anc 6527 da 1637 cope744 ifp 502 id 097 vf 092 udm 090 saelections 70votes counted,2022-11-29 17:45:34,Pretoria,"['ANC', 'DA', 'COPE', 'IFP', 'ID', 'VF', 'UDM', 'saelections']",0.0,0.0,
10000 south africans voted overseas 77 da think shouldve voted,2022-11-29 08:12:01,"Cape Town, South Africa",['DA'],0.0,0.0,
voted sandton sports club 12min queue super friendly iec staff go go gadget zille baby saelections da,2022-11-29 18:55:37,"Johannesburg, South Africa","['IEC', 'saelections', 'DA']",0.35416666666666663,0.5833333333333333,
suck politician shots cellphone attached tony leon caramellos kloof str saelections da,2022-11-29 15:06:11,Cape Town,"['saelections', 'da']",0.0,0.0,
rt another sms vanilla shriller da time afrikaans seriously guys enough already saelections,2022-11-29 13:16:51,Cape Town,"['DA', 'saelections']",-0.16666666666666666,0.5833333333333333,
another sms vanilla shriller da time afrikaans seriously guys enough already saelections,2022-11-29 13:11:44,"Cape Town, South Africa","['DA', 'saelections']",-0.16666666666666666,0.5833333333333333,
still vote unless something drastic happens next 15 min da,2022-11-29 09:10:33,"Johannesburg, South Africa",['DA'],0.0,0.0,
mrs zille says back move npa hopes da saelections,2022-11-29 17:52:08,"Cape Town, South Africa","['DA', 'saelections']",0.0,0.0,
da public address benoni town hall try tweet happenings da saelections,2022-11-29 17:03:16,"Cape Town, South Africa","['DA', 'saelections']",0.0,0.06666666666666667,
dear party get number think unconstitutional ask im going vote da fail,2022-11-29 04:59:28,South Africa,"['DA', 'fail']",-0.5,0.29999999999999993,
rt hear malema lot say today matter every time opens mouth da gets votes,2022-11-29 17:59:16,Cape Town,"['Malema', 'DA']",0.0,0.0,
anc 6527 da 1637 cope744 ifp 502 id 097 vf 092 udm 090 saelections 70votes counted,2022-11-29 17:45:34,Pretoria,"['ANC', 'DA', 'COPE', 'IFP', 'ID', 'VF', 'UDM', 'saelections']",0.0,0.0,
form party numsa give hell theyll come running need votes anc best ignore,14:11:09 13:51:43,Johannesburg,"['NUMSA', 'ANC']",1.0,0.3,
witness eff best 2 ensure dat campaigns universities well funded w call anc also fund sasco elections,14:10:13 19:56:20,Pretoria,"['eff', 'ANC']",1.0,0.3,
witness eff best 2 ensure dat campaigns universities well funded w call anc also fund sasco elections,14:10:13 19:56:20,Pretoria,"['eff', 'ANC']",1.0,0.3,
one anc member trust degree real lol vote 4 u,14:08:20 19:02:41,"Johannesburg, South Africa",['ANC'],1.0,1.0,
gp effs best voting province shouldnt calling shots,14:12:15 16:59:12,"Johannesburg, RSA",['EFF'],1.0,0.3,
leaked report reveals cost tell good story broke anc blows r429m elections mampg todaymampgafricas best read,14:11:28 05:36:02,"Johannesburg, South Africa",['ANC'],0.85,0.45000000000000007,
whatever happening parliament thats voted im proud saygagonanakoyaborokoeither u behave else u jump eff,14:11:27 17:56:56,Polokwane,"['Parliament', 'EFF']",0.8,1.0,
people complaining effs conduct parliament never voted us proud fearless mps,14:09:18 06:23:06,"Cape Town, South Africa",['EFF'],0.8,1.0,
lol eff mix religion poltics whn ur cic needs prayers frm church help get votes,14:09:23 04:59:38,"Butterworth, South Africa",['EFF'],0.8,0.7,
eff wanna treated like majority party must win elections legalize anarchy,14:10:08 08:20:43,South Africa,['EFF'],0.8,0.4,
turfloop eff runs town haymani u said eff win election anc wil lyktxo wee whati cant believe xt,14:10:10 09:39:18,"Polokwane, South Africa","['turfloop', 'eff', 'eff', 'anc']",0.8,0.4,
great noise made year vote eff,14:11:09 18:43:59,South Africa,['eff'],0.8,0.75,
great noise made year vote eff,14:11:09 18:45:24,"Johannesburg, South Africa",['eff'],0.8,0.75,
plently proudly retweet futhi rt proudly voted eff,14:11:13 12:44:11,"Johannesburg ,South Africa",['EFF'],0.8,1.0,
lt rt world lt rt plently proudly retweet futhi rt proudly voted eff,14:11:13 12:59:17,"Durban, South Africa",['EFF'],0.8,1.0,
changed 2016 voting administration great track record governs da,14:11:14 20:30:12,"Soweto, South Africa",['DA'],0.8,0.75,
k proud eff voter rt feel eff voters,14:11:27 18:44:57,"Johannesburg, South Africa",['EFF'],0.8,1.0,
question voted anc eff guys still happy,14:08:22 13:11:23,South Africa,"['ANC', 'EFF']",0.8,1.0,
anc win elections 16 million people hand outs,14:07:03 09:45:33,South Africa,['ANC'],0.8,0.4,
anc da hope win inbyelections two wards pe today sabcnews,14:08:13 08:40:09,South Africa,"['ANC', 'DA', 'SABCNews']",0.8,0.4,
sabcnews zoom todays byelections danews anc hope win,14:08:13 15:28:48,South Africa,"['SABCNews', 'DA_news', 'ANC']",0.8,0.4,
seems like vote eff invein happy eff taking parliament anc task,14:08:21 15:05:53,South Africa,"['EFF', 'ANC']",0.8,1.0,
question voted anc eff guys still happy,14:08:22 13:11:23,South Africa,"['ANC', 'EFF']",0.8,1.0,
mj attitude would win votes anc take note,14:08:22 18:51:42,South Africa,['ANC'],0.8,0.4,
thats anc always win votes even oppositions cant vote sellouts pple voted parliament,14:09:16 16:40:52,South Africa,"['ANC', 'Parliament']",0.8,0.4,
turfloop eff runs town haymani u said eff win election anc wil lyktxo wee whati cant believe xt,14:10:10 09:39:18,"Polokwane, South Africa","['turfloop', 'eff', 'eff', 'anc']",0.8,0.4,
proud eff parliament carrying mandate people voted,14:08:26 20:44:30,"Landless, South Africa",['EFF'],0.8,1.0,
ifp launches election manifesto says plan win manifesting bout anc,14:01:09 06:46:42,"Durban, South Africa",['IFP'],0.8,0.4,
people voted eff nd juju must proud paybackthemoney,14:08:21 20:13:26,"Pretoria, South Africa","['EFF', 'PayBackTheMoney']",0.8,1.0,
seems like vote eff invein happy eff taking parliament anc task,14:08:21 15:05:53,South Africa,"['EFF', 'ANC']",0.8,1.0,
elections together bring changes elections vukuzenzele anc da eff ifp cope dabalorivhuwa lol,14:01:17 17:54:03,"Boksburg, South Africa","['Elections', 'Elections', 'ANC', 'DA', 'EFF', 'IFP', 'COPE', 'DabaLorivhuwa']",0.8,0.7,
ifp womans brigade says rape win national election,14:03:02 11:32:47,"Gleneagles, Johannesburg ",['IFP'],0.8,0.4,
ifp win province kuvukiland 2014elections,14:03:04 09:17:05,"South Africa, Zululand, Ulundi","['IFP', '2014Elections']",0.8,0.4,
lol ah dont know u want im voting ifp,14:05:06 06:54:01,"Durban, South Africa",['IFP'],0.8,0.7,
ifp 43 seats national assembly 1994 today may win around 10 seats saelections2014,14:05:08 20:50:36,"Cape Town, South Africa","['IFP', 'SAElections2014']",0.8,0.4,
put eff going win 20142015 src election,14:08:07 08:48:39,"South Africa, Midrand",['EFF'],0.8,0.4,
vote never wastedim proud voted eff,14:08:21 13:56:58,South Africa,['EFF'],0.8,1.0,
wil vote againu stil welcome even nw join useffs,14:08:21 14:37:27,SOUTH AFRICA,['EFF'],0.8,0.9,
proudly voted eff,14:11:13 12:46:50,"Mokopane, South Africa",['EFF'],0.8,1.0,
u still proud voting eff parliament,14:08:21 17:46:15,"Johannesburg, South Africa","['EFF', 'Parliament']",0.8,1.0,
wishing anc comrades musa dladla region successful conference election leadership,14:10:11 11:18:25,"Johannesburg, South Africa",['ANC'],0.75,0.95,
order greatest number votes ancdacopeifpudmeff prediction southafricandemocraticelection anc greater 58,14:05:06 11:29:16,"Port Elizabeth, South Africa","['ANC', 'DA', 'COPE', 'IFP', 'UDM', 'EFF', 'SouthAfricanDemocraticElection']",0.75,0.75,
pps craze lol lets vote guys mangusotho buthelezi ifp vote zulu man n good sex,14:05:07 06:15:54,"Pietermaritzburg, ZN, RSA","['Mangusotho', 'IFP']",0.75,0.65,
anc wishes people mozambique successful elections go polls 5th presidential elections today,14:10:15 09:23:24,South Africa,['ANC'],0.75,0.95,
