Text,Datetime,Location,Hashtags,polarity,subjectivity,Unnamed: 0
exception national issue fighting corruption majority voters 301 stated eff would best job,19:03:17 13:30:00,"Johannesburg, South Africa",['EFF'],1.0,0.3,2512.0
sas best chance unseat forces corruption entrench democracy goodgovernance voting anc instead voters chosen leave power give support racebased politicsofintolerance embodied eff,19:05:11 08:59:42,"Cape Town, South Africa","['corruption', 'democracy', 'GoodGovernance', 'ANC', 'RaceBased', 'PoliticsOfIntolerance', 'EFF']",1.0,0.3,982.0
exception national issue fighting corruption majority voters 301 stated eff would best job,19:03:18 02:50:00,"Johannesburg, South Africa",['EFF'],1.0,0.3,2505.0
among anc voters 51 unsatisfied national government performance fighting corruption 47 also believed anc rather da eff best fighting corruption,19:03:17 10:15:00,"Johannesburg, South Africa","['ANC', 'DA', 'EFF']",1.0,0.3,2516.0
sas best chance unseat forces corruption entrench democracy goodgovernance voting anc instead voters chosen leave power give support racebased politicsofintolerance embodied eff,19:05:11 08:59:42,"Cape Town, South Africa","['corruption', 'democracy', 'GoodGovernance', 'ANC', 'RaceBased', 'PoliticsOfIntolerance', 'EFF']",1.0,0.3,560.0
2019elections considering 2014 2019 election results much impressed demage happened zuptas statecapture corruption voted anc please thank nevergiveup ancleads ancrules growsouthafrica,19:05:12 06:48:31,"Pretoria, South Africa","['2019Elections', 'zuptas', 'statecapture', 'Corruption', 'anc', 'NeverGiveUp', 'ANCLeads', 'ANCRules', 'GrowSouthAfrica']",1.0,1.0,896.0
like intelligent anc voters defending zandilegumede appeared court corruption charges,19:05:15 05:09:33,South Africa,"['anc', 'ZandileGumede']",0.8,0.9,812.0
da supporter good job ppl b going backwards allow person voted 4 removed corruption,19:08:21 15:09:30,South Africa,['da'],0.7,0.6000000000000001,286.0
fair cyrils colleagues anc attacking putting brakes corruption mismanagement must talk anc must know get voted,19:06:27 06:16:58,South Africa,['ANC'],0.7,0.9,561.0
voting da cannot continue path corruption hatred cost economy people lives citizens great country anc damage need replaced competent government voteforchange voteda,19:05:04 22:09:24,South Africa,"['ANC', 'VoteforChange', 'VoteDA']",0.65,0.7083333333333333,1982.0
institute race relations released survey revealed voters confident effs ability fight corruption anc eff,19:03:18 13:26:39,South Africa,"['ANC', 'EFF']",0.5,0.8333333333333334,2495.0
cancer chowing us alive keep voting power great contributor perpetrator corruption always voted anc except zuma administration election2021 zandilegumede anc publicprotector,19:08:31 14:21:50,South Africa,"['ANC', 'Zuma', 'election2021', 'ZandileGumede', 'ANC', 'PublicProtector']",0.45,0.575,357.0
anc mps must learn must embrace reforms curb corruption lose next elections cushy jobs lots perks,19:08:10 08:21:29,South Africa,['ANC'],0.45,0.5,432.0
eff means everything free people want jobs people want better service delivery people want honest competent police people want live crime free society secure borders want corruption free government da answer da tshelathuparally voteda,19:05:05 09:46:38,"Evander, South Africa","['EFF', 'DA', 'TshelaThupaRally', 'VoteDA']",0.4170454545454545,0.6958333333333333,932.0
suspends full pay till elections back anc best corruption show lies empty promises win anc eff,19:04:30 12:12:42,South Africa,"['Corruption', 'lies', 'empty', 'promises', 'ANC', 'EFF']",0.41,0.35,1796.0
intelligence left integrity guess hey eff leaders accumulate wealth corruption hence become intelligent elections defend corruption,19:06:06 05:44:32,South Africa,['EFF'],0.4,0.45,429.0
exactly anc never change evidence presented depth looting corruption anc leaders ancdeployees three commissions voters still give party overwhelming support wonder magashule smiling,19:05:09 22:24:38,"Cape Town, South Africa","['ANC', 'ANCDeployees', 'commissions', 'Magashule']",0.375,0.625,1188.0
anc eff vote wisely elections2019 vote arrogance vote threats vote corruption vote nepotism vote clinging candidates protect minority rights protect property rights protect south africas future,19:04:27 06:52:55,"Western Cape, South Africa","['ANC', 'EFF', 'Elections2019']",0.35,0.5125,1876.0
much corruption engrained everything anc sure anc allowed saelections2019 conducted without corruption electionresults,19:05:09 15:45:10,"Jo'Burg, South Africa, Earth","['SouthAfrica', 'ANC', 'SAElections2019', 'Corruption', 'ElectionResults']",0.35,0.5444444444444444,1244.0
often say nothing wrong anc capable ie corruption problem people vote anc good bringing country zero best could ramaphosa anc enoughisenough,19:09:05 23:47:52,South Africa,"['Ramaphosa', 'ANC', 'EnoughIsEnough']",0.35,0.55,339.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb ouch,19:03:12 09:25:57,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2591.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb wake,19:03:13 20:14:05,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2571.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb,19:03:14 11:47:50,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2562.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa,19:03:20 17:49:03,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2467.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb ouch,19:03:10 16:22:26,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2614.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb,19:03:16 14:19:35,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2531.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb eish,19:03:17 04:11:37,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2526.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb,19:03:10 19:43:53,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2612.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa sarb,19:03:15 19:04:51,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa', 'sarb']",0.3,0.4499999999999999,2539.0
said politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa,19:03:08 10:54:12,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2655.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa eish,19:03:24 10:28:06,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2412.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa eish,19:03:23 20:32:53,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2419.0
politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion,19:03:07 14:02:15,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion']",0.3,0.4499999999999999,2671.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa eish,19:03:28 11:21:48,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2337.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa ouch,19:03:30 12:36:56,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2314.0
say politics aside believe best money decision make election2019 vote da fact parties going make poor call anc eff corruption nationalizastion cyrilramaphosa junk status,19:03:30 04:56:41,South Africa,"['Election2019', 'SouthAfrica', 'ANC', 'EFF', 'CORRUPTION', 'nationalizastion', 'CyrilRamaphosa']",0.3,0.4499999999999999,2318.0
thick da best qualified run country vote corruption violence recently old np anc eff freedomfront,19:10:10 04:36:32,South Africa,"['SouthAfrica', 'corruption', 'ANC', 'EFF', 'FreedomFront']",0.2666666666666666,0.3249999999999999,210.0
anc conscorruption fractions lost conscious proslongevity sound policies da cons racism black people fronting oblivious pros good governance eff consdictatorship sound solutions prosgood problems identifiers young saelections2019 anc mbeki eff da bosasa,19:04:28 06:31:25,South Africa,"['SAElections2019', 'ANC', 'EFF', 'DA', 'bosasa']",0.2555555555555555,0.4555555555555555,1853.0
dear eff didnt vote u guys believe one lead country keep pushing achieve objective advice focus policy issue land corruption many us might find ourself redregalia asijiki,19:05:09 10:15:51,"Campsbay,Cape Town,Western.C","['EFF', 'Redregalia', 'Asijiki']",0.25,0.3,889.0
view 2 pravin cr responsible soes warroom eskom 1 anc nec letting voters 2anc nec conspicuously quiet 3anc integrity committee integrity let corruption reign anc 4anc top 6 dont respect voters 5anc nec bow wmc kills anc,19:12:10 10:12:56,"Vereeniging, South Africa","['ANC', 'ANC', 'ANC', 'ANC', 'ANC']",0.2333333333333333,0.4611111111111111,54.0
