Text,Datetime,Location,Hashtags
results 23 nov byelection mp govan mbeki ward 25 da 7985 555 anc 1571 706 ifp 263 22 eff 18 285 da retain ward nicholas van huyssteen elected turnout 20,22:11:26 00:05:37,"Pretoria, South Africa","['DA', 'ANC', 'IFP', 'EFF']"
results 23 nov byelection wc drakenstein ward 17 da 4972 3187 vfplus 4124 297 anc 536 383 eff 025 013 ara 0 da retain ward lorraine cyster elected turnout 375,22:11:26 00:01:28,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF', 'ARA']"
results 23 nov byelection wc city cape town ward 38 anc 6312 1188 good 1585 11 da 1291 9 eff 511 4 udm 126 01 anc retain ward suzanne zumana elected turnout 26,22:11:25 23:57:08,"Pretoria, South Africa","['ANC', 'GOOD', 'DA', 'EFF', 'UDM']"
mayor dont vote da next time sell us anc anyway lets try next time knows maybe surprise us,22:11:24 03:50:58,"Pretoria, South Africa",['DA']
da please impliment solution run example yr elected areas people move vote manner,22:11:24 03:31:01,"Krugersdorp, South Africa",['da']
da drakenstein ward 17 da dropped white votes predominantly afrikaans vote switching da 49 34 ff 41 31 also clinging mostly coloured vote,22:11:23 22:08:55,South Africa,"['DA', 'Afrikaans']"
anc likely lose majority marginal inroads expected da survey anc da elections,22:11:23 13:53:54,South Africa,"['ANC', 'DA', 'Elections']"
candidates 23 nov byelection wc drakenstein ward 17 da lorraine cyster vfplus pierr du toit anc fransisca dreyer eff dehan abrahams ara brigham rix ind alvina abrahams 2021 results 8159 1154 153 012 004,22:11:21 10:47:29,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF', 'ARA']"
candidates 23 nov byelection wc city cape town ward 38 anc suzanne zumana eff tshepo motlhabane good lulama benge da siya ndlezana pac vuyani skolpati udm nceba tyobeka ara sakhele kula ind masiya yengwa 2021 results 75 9 5 4,22:11:21 10:41:27,"Pretoria, South Africa","['ANC', 'EFF', 'GOOD', 'DA', 'PAC', 'UDM', 'ARA']"
candidates upcoming byelection mp govan mbeki ward 25 da nicholaas huyssteen anc khumbulani ngema eff bandeli nkosi ifp malibongwe dlamini 2021 results 743 865 465 043,22:11:21 10:31:24,"Pretoria, South Africa","['DA', 'ANC', 'EFF', 'IFP']"
results yesterdays byelection lim bela bela ward 01 vfplus 5835 3207 da 3482 3104 anc 536 053 eff 147 101 vfplus win ward da johan cloete elected,22:11:17 04:58:21,"Pretoria, South Africa","['VFPlus', 'DA', 'ANC', 'EFF']"
jave saying da go anc villages gonshow could average rural votoer dont read newspaper da da election,22:11:16 16:57:13,South Africa,"['DA', 'election']"
cape town da let water run road months ignores requests please help nevervotedda da shouldbeashamed,22:11:15 13:39:04,Pretoria ,"['nevervotedDA', 'DA', 'shouldbeashamed']"
rocket science da runs municipality better anc majority voters still dont get 3rdworld culture leads thinking anc good job,22:11:15 04:27:00,South Africa,"['DA', 'ANC', '3rdworld', 'culture']"
byelection candidate list 16 nov election lim bela bela ward 01 da hendrika kruger vfplus johan cloete anc bianca moco eff mahlomola mohlala 2021 results 6586 2628 483 248,22:11:13 18:03:55,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF']"
agreed da voted power,22:11:11 08:41:43,johannesburg,['DA']
reelection tania campbell continuation depression many us whore unemployed living ekurhuleni da led coalition made living ekurhuleni extremely expensive unaffordable,22:11:09 07:16:29,"Gauteng, South Africa",['DA']
live reelection ekurhuleni mayor tania campbell second chance use multicoalition parties better serve residence coalitions da actionsa vf acdp ifp,22:11:09 06:54:42,"Johannesburg, South Africa","['Coalitions', 'DA', 'ActionSA', 'VF', 'ACDP', 'IFP']"
john29 eff supporters twitter tweet like theyre affluent live white suburbs todays effs decision vote da negatively affect eff voters living ekurhuleni,22:11:08 19:13:16,"Gauteng, South Africa",['DA']
eff supporters excited twitter leaders voted da brought back tania campbell guess theyre either affluent live bedfordview dont live ekurhuleni da run coalition wont presiding,22:11:08 17:38:34,"Gauteng, South Africa","['DA', 'DA']"
lets forget eff abstained voting tania campbell knowing exactly results going didnt get week voted da say mind anc politicians arent ones feel brunt residents,22:11:08 17:29:24,"Gauteng, South Africa",['DA']
eff votes da back power ekurhuleni,22:11:08 13:19:26,South Africa,"['EFF', 'DA']"
eff principled organisation tania campbell voted eff abstained today voted da anc wanted cogovern whereas eff wanted govern ekurhuleni alone,22:11:08 12:35:08,"Gauteng, South Africa","['EFF', 'DA']"
thats eff vote da something unfortunate ekurhuleni,22:11:08 09:52:49,"Gauteng, South Africa","['EFF', 'DA']"
yoo da congratulating eff winning ward elections dont push,22:11:07 09:00:03,South Africa,"['DA', 'EFF']"
da successfully retains ward 10 ethekwini municipality taking 948 vote catch happened da municipalelections,22:11:03 09:20:11,South Africa,"['DA', 'municipalelections']"
results byelection 2nd november kzn ethekwini ward 10 kloof da 948 1577 anc 351 189 abc 12 117 ifp 026 045 eff 024 17 caelee laing elected councillor 311 voter turnout,22:11:03 07:14:21,"Pretoria, South Africa","['DA', 'ANC', 'ABC', 'IFP', 'EFF']"
candidate list byelection 2nd november kzn ethekwini ward 10 kloof da caelee laing anc thabile zulu eff senzo mtembu ifp louisa smal abc philani mavundla 2021 party results 7903 54 194 071 003,22:11:01 08:28:41,"Pretoria, South Africa","['DA', 'ANC', 'EFF', 'IFP', 'ABC']"
2024election vote southafricaelection2024 anc eff actionsa da da,22:10:27 07:12:08,"Johannesburg, South Africa","['SouthAfrica', '2024election', 'Vote', 'SouthAfricaElection2024', 'ANC', 'EFF', 'ActionSA', 'DA']"
helen assume aware us vote da know anc must opposition however da still long go show viable alternative,22:10:26 18:29:22,Johannesburg,"['ANC', 'DA']"
see happens highly uneducated voters abstain voting eff ekurhuleni taniacampbell da coj da natashamazzone,22:10:26 16:13:47,"Midrand, South Africa","['EFF', 'Ekurhuleni', 'TaniaCampbell', 'DA', 'COJ', 'natashamazzone']"
mphophalatse anc anc da ekurhuleni voteofnoconfidence helenzille realnewsformobile theroadto2024,22:10:26 11:02:08,"Linden, Johannesburg","['mphophalatse', 'ANC', 'ANC', 'DA', 'Ekurhuleni', 'VoteOfNoConfidence', 'HelenZille', 'RealNewsForMobile', 'TheRoadTo2024']"
like smaller parties stop fighting amongst gain ground opposition failed anc need start building bridges 2024election gonna work together excluding eff da actionsa,22:10:25 08:41:07,"Cape Town, South Africa","['ANC', '2024election', 'EFF', 'DA', 'ActionSA']"
need lee khan yew type leadership political parties helping voting childish personal interest jealousy shortsighted interest support yew campaign leadership resurrection sayew anc da ff ifp eff actionsa,22:10:22 10:05:44,South Africa,"['sayew', 'anc', 'da', 'ff', 'ifp', 'eff', 'actionsa']"
