Text,Datetime,Location,Hashtags
keep good work sure greater public reward da well next municipal elections,17:12:30 08:02:47,"Johannesburg, South Africa",['DA']
waiting political parties respond question early elections business usual parliament eff udm daanc,17:12:29 09:36:05,South Africa,"['EFF', 'UDM']"
time get city sharpeville work people anc failed time vote da look forward 2019,17:12:28 09:37:40,"Cape Town, South Africa","['Sharpeville', 'ANC', 'DA']"
get city sharpeville work vote da anc time prove failed look forward backwards,17:12:28 09:34:45,"Cape Town, South Africa","['Sharpeville', 'DA', 'ANC']"
ancvotes da eff,17:12:25 12:19:07,"Pretoria, South Africa","['ANCVotes', 'DA', 'EFF']"
jacob zuma anc weak opponents best interests da eff kept power gained votes daft planning however best interests currency,17:12:23 11:53:26,South Africa,"['ANC', 'DA', 'EFF', 'Power', 'Daft', 'Planning', 'SouthAfrica']"
fact powerful zuma nec powerful constitution powerful anc eff da udm ready court battle law breakers zupta ramaphosa test b4 2019elections,17:12:21 06:49:33,South Africa,"['Zuma', 'NEC', 'Constitution', 'ANC', 'EFF', 'DA', 'UDM', '2019Elections']"
press 2019 kzn anc must proud vote unity conscious national government radically vote provincial government would sweet response mafia dd mabuza da waiting govern 2019,17:12:20 05:32:39,South Africa,"['vote', 'vote', 'Mafia', 'DA']"
portia adams spokesperson da leader spoke election president refused flatly comment suspension da mayor da issues wheres euphonik somgaga need,17:12:19 16:34:10,"Midrand, South Africa","['DA', 'DA']"
sorry da losing vote behavior hoped better,17:12:19 12:50:33,South Africa,['DA']
da leader mmusi maimane says looks forward taking cyril ramaphosa next national elections 2019 criticising anc president someone voted jacob zuma,17:12:19 10:40:42,"Bloemfontein, South Africa","['DA', 'Maimane', 'Ramaphosa', 'Zuma']"
cyrilramaphosa president doesnt mean im going vote anc54 come national elections time yall hurt np da yall traitors ate zuma became fort zerocorruption makeancgreatagain,17:12:19 08:00:26,"Johannesburg, South Africa","['CyrilRamaphosa', 'president', 'ANC54', 'DA', 'Zuma', 'ZeroCorruption', 'MakeANCgreatagain']"
de lille gave votes need true colors da go thru,17:12:19 03:39:33,"Soweto, South Africa",['DA']
anc held together glue patronage corruption cyril ramaphosa face old anc future south africa lies outside anc voters bring total change removing anc mmusimaimane da,17:12:18 21:15:44,"Cape Town, South Africa","['MmusiMaimane', 'DA']"
