Text,Datetime,Location,Hashtags
results 23 nov byelection mp nkomazi ward 04 anc 6783 238 eff 3048 1802 al 167 anc retain ward samuel ngobeni elected turnout 346,22:11:26 00:13:57,"Pretoria, South Africa","['ANC', 'EFF', 'AL']"
results 23 nov byelection mp mkhondo ward 15 anc 3872 1224 ind 3451 eff 22 1229 ifp 279 243 aacum 198 anc retain ward sabelo shoba elected turnout 49,22:11:26 00:10:35,"Pretoria, South Africa","['ANC', 'EFF', 'IFP', 'AACUM']"
results 23 nov byelection mp govan mbeki ward 25 da 7985 555 anc 1571 706 ifp 263 22 eff 18 285 da retain ward nicholas van huyssteen elected turnout 20,22:11:26 00:05:37,"Pretoria, South Africa","['DA', 'ANC', 'IFP', 'EFF']"
results 23 nov byelection wc drakenstein ward 17 da 4972 3187 vfplus 4124 297 anc 536 383 eff 025 013 ara 0 da retain ward lorraine cyster elected turnout 375,22:11:26 00:01:28,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF', 'ARA']"
results 23 nov byelection wc city cape town ward 38 anc 6312 1188 good 1585 11 da 1291 9 eff 511 4 udm 126 01 anc retain ward suzanne zumana elected turnout 26,22:11:25 23:57:08,"Pretoria, South Africa","['ANC', 'GOOD', 'DA', 'EFF', 'UDM']"
eff road 2024 elections running smart hd drones smart hd projectors smart hd eff ground forces eff red friday refused silenced time spread truth,22:11:25 04:39:58,"East London, South Africa",['EFF']
animal cyrilramaphosa phalaphalafarmgate eff anc vote risk,22:11:24 09:55:10,"Durban, South Africa","['cyrilramaphosa', 'PhalaPhalaFarmGate', 'eff', 'ANC']"
2024 must go numbers vote eff said past achieve 1millionmembership campaign member gets 10 guaranteed eff voters party govern country,22:11:23 13:19:09,"Durban, South Africa","['1millionmembership', 'EFF']"
candidates 23 nov byelection wc drakenstein ward 17 da lorraine cyster vfplus pierr du toit anc fransisca dreyer eff dehan abrahams ara brigham rix ind alvina abrahams 2021 results 8159 1154 153 012 004,22:11:21 10:47:29,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF', 'ARA']"
candidates 23 nov byelection wc city cape town ward 38 anc suzanne zumana eff tshepo motlhabane good lulama benge da siya ndlezana pac vuyani skolpati udm nceba tyobeka ara sakhele kula ind masiya yengwa 2021 results 75 9 5 4,22:11:21 10:41:27,"Pretoria, South Africa","['ANC', 'EFF', 'GOOD', 'DA', 'PAC', 'UDM', 'ARA']"
candidates coming byelection mp nkomazi ward 04 anc samuel ngobeni eff raymond mathibe al thando sambo 2021 results 7021 1246,22:11:21 10:34:59,"Pretoria, South Africa","['ANC', 'EFF', 'AL']"
