Text,Datetime,Location,Hashtags
spring im honest people dangling carrot carrot front us every election giving us rotten cabbages giving us whole time time im taking shot left eff,17:12:31 13:17:49,"Limpopo, South Africa",['EFF']
smalema agree call eff irresponsible let also give credit eff achieved anc would adopted progressive ret policies threat loosing members votes parties progressive,17:12:31 04:37:43,South Africa,"['EFF', 'RET']"
oops forgot south africa hear marikana killingsunder ramaphosa 2024 elections compliments eff god mercy u may join hardybro,17:12:29 22:20:10,"Campsbay,Cape Town,Western.C","['MARIKANA', 'EFF', 'Hardybro']"
heebaan eff talking early election hai go ralokwa ka rena felo faas fighting within eventually makes one corrupt,17:12:29 16:11:11,"Randburg, South Africa",['EFF']
waiting political parties respond question early elections business usual parliament eff udm daanc,17:12:29 09:36:05,South Africa,"['EFF', 'UDM']"
1999 formation mdc proposed land reform policy caught zanu guard knew would lose next electionthe eff may played mdc1999 zim1999 sa2017 disaster looming paradise,17:12:28 20:01:04,South Africa,"['MDC', 'zanu', 'EFF', 'MDC1999', 'Zim1999', 'SA2017']"
ancvotes da eff,17:12:25 12:19:07,"Pretoria, South Africa","['ANCVotes', 'DA', 'EFF']"
jacob zuma anc weak opponents best interests da eff kept power gained votes daft planning however best interests currency,17:12:23 11:53:26,South Africa,"['ANC', 'DA', 'EFF', 'Power', 'Daft', 'Planning', 'SouthAfrica']"
landexpropriation voting anc understand much liability land actually title deed doesnt make rich much anc eff understand,17:12:23 11:48:11,South Africa,"['LandExpropriation', 'ANC', 'ANC', 'EFF']"
eff give anc necessary votes get us land resources soon done compete governance checkmate,17:12:23 11:40:51,"Cape Town, South Africa","['EFF', 'ANC', 'CheckMate']"
dear smalema wanna give followersvoters truly inspiring christmas message tell amend eff policy dump socialism,17:12:23 05:03:29,"Umlazi, South Africa","['EFF', 'socialism']"
true leader smalema come 2019 change dat 6 50 vote eff,17:12:22 17:15:46,Johannesburg ,['EFF']
eff votes along da landexpropriation issue spite anc anc54,17:12:22 12:39:13,South Africa,"['EFF', 'LandExpropriation', 'ANC', 'ANC54']"
know things anc54 conference resolutions ears adopted mangaung failed implement eff tabled motion parliament expropriate land voted,17:12:22 05:03:24,South Africa ,"['ANC54', 'EFF']"
agree mayi also thinking voting eff 2019 anymore anc back theres hope,17:12:21 14:27:56,Johannesburg,"['EFF', 'ANC']"
fact powerful zuma nec powerful constitution powerful anc eff da udm ready court battle law breakers zupta ramaphosa test b4 2019elections,17:12:21 06:49:33,South Africa,"['Zuma', 'NEC', 'Constitution', 'ANC', 'EFF', 'DA', 'UDM', '2019Elections']"
land policy nothing election manifesto aimed containing eff rise know get 23rd vote opposition raise motion theyll rely support time delay gimmick anc54,17:12:21 03:19:04,"Johannesburg, South Africa","['EFF', 'ANC54']"
anc needs 23 majority change constitution land obviously need eff vote theyll act fast lose power 2019elections,17:12:20 21:50:36,"Cape Town, South Africa","['ANC', 'Constitution', 'EFF', '2019Elections']"
anc like bathabiledlameni saying feminist voter fodder anc doesnt move sharply toward left knows lose majority eff purepolitics existing law allows need const amendment talkleftwalkright,17:12:20 21:15:17,"Cape Town, South Africa","['ANC', 'BathabileDlameni', 'EFF', 'PurePolitics', 'TalkLeftWalkRight']"
eff supporters worried land expropriation without compensation gave votes parli chicken would gats,17:12:20 19:40:12,johannesburg,['EFF']
lol remain policy paper wont able implement unless ask eff help anc never win 23 majority actually wont get 50 2019 election,17:12:20 18:58:15,South Africa,['EFF']
anc54 68votes issue resolved ancconference opposition party eff national chairperson mpofu reportedly lead court challenge brought anc delegates surrealistic,17:12:20 08:38:43,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
anc54 68votes issue stirred deliberately resolved ancconference reported opposition party eff national chairperson mpofu lead court challenge brought anc delegates surrealistic,17:12:20 08:31:53,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
anc54 68votes issue resolved ancconference reported opposition party eff national chairperson mpofu lead court challenge brought anc delegates surrealistic,17:12:20 08:28:11,South Africa,"['ANC54', '68Votes', 'ANCConference', 'EFF', 'ANC']"
