Text,Datetime,Location,Hashtags
results 23 nov byelection mp mkhondo ward 15 anc 3872 1224 ind 3451 eff 22 1229 ifp 279 243 aacum 198 anc retain ward sabelo shoba elected turnout 49,22:11:26 00:10:35,"Pretoria, South Africa","['ANC', 'EFF', 'IFP', 'AACUM']"
results 23 nov byelection mp govan mbeki ward 25 da 7985 555 anc 1571 706 ifp 263 22 eff 18 285 da retain ward nicholas van huyssteen elected turnout 20,22:11:26 00:05:37,"Pretoria, South Africa","['DA', 'ANC', 'IFP', 'EFF']"
candidates upcoming byelection mp govan mbeki ward 25 da nicholaas huyssteen anc khumbulani ngema eff bandeli nkosi ifp malibongwe dlamini 2021 results 743 865 465 043,22:11:21 10:31:24,"Pretoria, South Africa","['DA', 'ANC', 'EFF', 'IFP']"
candidates upcoming byelection mp mkhondo ward 15 anc sabelo shoba eff jabulani ndlangamandla ifp sinenhlanhla madonsela aacum busangani magagula ind jabulani nkosi ind bhekisisa kunene ind sibusiso ntshalintshali 2021 results 5096 971,22:11:21 10:25:57,"Pretoria, South Africa","['ANC', 'EFF', 'IFP', 'AACUM']"
live reelection ekurhuleni mayor tania campbell second chance use multicoalition parties better serve residence coalitions da actionsa vf acdp ifp,22:11:09 06:54:42,"Johannesburg, South Africa","['Coalitions', 'DA', 'ActionSA', 'VF', 'ACDP', 'IFP']"
warned ukuthi point ifp mess prospects kzn takeover 2024 sneaky anclike shit election struggle either bring enough voter base win floating anc voters ifp problem,22:11:03 09:40:23,"Umlazi, South Africa","['IFP', 'ANC']"
results byelection 2nd november kzn ethekwini ward 10 kloof da 948 1577 anc 351 189 abc 12 117 ifp 026 045 eff 024 17 caelee laing elected councillor 311 voter turnout,22:11:03 07:14:21,"Pretoria, South Africa","['DA', 'ANC', 'ABC', 'IFP', 'EFF']"
candidate list byelection 2nd november kzn ethekwini ward 10 kloof da caelee laing anc thabile zulu eff senzo mtembu ifp louisa smal abc philani mavundla 2021 party results 7903 54 194 071 003,22:11:01 08:28:41,"Pretoria, South Africa","['DA', 'ANC', 'EFF', 'IFP', 'ABC']"
need lee khan yew type leadership political parties helping voting childish personal interest jealousy shortsighted interest support yew campaign leadership resurrection sayew anc da ff ifp eff actionsa,22:10:22 10:05:44,South Africa,"['sayew', 'anc', 'da', 'ff', 'ifp', 'eff', 'actionsa']"
mn7 carswell da last election voted 1 next election vote ifp failure agree however prioritize removing anc sort coalitions followed fixing status q mediocrity imo,22:10:22 06:40:29,"Umkomaas, South Africa",['IFP']
da would also help stop corruption savoters would stop voting anc allies form politicalcoalitions enable get back power eff patrioticalliance ifp actionsa etc,22:10:18 08:59:43,"Cape Town, South Africa","['corruption', 'SAVoters', 'ANC', 'PoliticalCoalitions', 'EFF', 'PatrioticAlliance', 'IFP', 'ActionSA']"
ifp byelections2022,22:10:18 05:07:39,"Linden, Johannesburg","['IFP', 'ByElections2022']"
realnewsformobile anc ifp byelections2022,22:10:17 16:12:16,"Linden, Johannesburg","['RealNewsForMobile', 'ANC', 'IFP', 'ByElections2022']"
results byelection held kzn umuziwabantu ward 11 ifp 529 4568 sun 2334 na anc 1634 1072 eff 322 425 aljama 106 5002 ifp wins seat khanyisile mbotho elected,22:10:13 08:12:04,"Pretoria, South Africa","['IFP', 'SUN', 'ANC', 'EFF', 'AlJama']"
candidates upcoming byelection 12th october kzn umuziwabantu ward 11 aljama allucious duma anc zethi khopho eff benard mpande ifp khanyisile mbotho atm yonelz mzize abc sabelo dlamini sun thulani ncane order 2021 results,22:10:10 05:00:00,"Pretoria, South Africa","['AlJama', 'ANC', 'EFF', 'IFP', 'ATM', 'ABC', 'SUN']"
results byelection held kzn umhlathuze ward 12 ifp 5437 2862 anc 4335 1553 eff 216 924 ccu 012 006 ifp win ward anc vincent dludla elected,22:09:16 20:35:27,"Pretoria, South Africa","['IFP', 'ANC', 'EFF', 'CCU']"
