Text,Datetime,Location,Hashtags,polarity,subjectivity
anc treasurer certain party win next elections decisively economy enough support lower middle class funny since 2008 support ive gotten loadshedding schedule reality,22:11:29 10:00:06,"Johannesburg, South Africa","['ANC', 'SouthAfrica']",0.21071428571428572,0.41190476190476194
mgazi paul needs support ndz22 wants anc win 2024election opposition parties fail find faults inkosazana striking 3 birds one stone 1 female president 2 winning 2024 3 delivery masses,22:11:29 07:31:49,South Africa,"['NDZ22', 'ANC', '2024Election']",0.25,0.4527777777777778
important anc voted power screwing matter supposed second line messing country,22:11:28 20:52:28,"Cape Town, South Africa",['ANC'],0.2,0.5
south african government anc recognise dictatorships go cap hand british money hypocrisy government unbelievable trust hold free fair elections 2024,22:11:27 15:31:39,"Cape Town, South Africa",['ANC'],0.16999999999999998,0.54
time please compare crime rates crime statistics brics countries brazil russia india china south africa done ask question voting anc,22:11:27 04:32:03,"Johannesburg, South Africa","['BRICS', 'ANC']",0.0,0.0
kasipeople results 23 nov byelection mp nkomazi ward 04 anc 6783 238 eff 3048 1802 al 167 anc retain ward samuel ngobeni elected turnout 346,22:11:26 13:38:32,"Johannesburg, South Africa","['ANC', 'EFF', 'AL']",0.0,0.0
results 23 nov byelection mp nkomazi ward 04 anc 6783 238 eff 3048 1802 al 167 anc retain ward samuel ngobeni elected turnout 346,22:11:26 00:13:57,"Pretoria, South Africa","['ANC', 'EFF', 'AL']",0.0,0.0
results 23 nov byelection mp mkhondo ward 15 anc 3872 1224 ind 3451 eff 22 1229 ifp 279 243 aacum 198 anc retain ward sabelo shoba elected turnout 49,22:11:26 00:10:35,"Pretoria, South Africa","['ANC', 'EFF', 'IFP', 'AACUM']",0.0,0.0
results 23 nov byelection mp govan mbeki ward 25 da 7985 555 anc 1571 706 ifp 263 22 eff 18 285 da retain ward nicholas van huyssteen elected turnout 20,22:11:26 00:05:37,"Pretoria, South Africa","['DA', 'ANC', 'IFP', 'EFF']",0.0,0.0
results 23 nov byelection wc drakenstein ward 17 da 4972 3187 vfplus 4124 297 anc 536 383 eff 025 013 ara 0 da retain ward lorraine cyster elected turnout 375,22:11:26 00:01:28,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF', 'ARA']",0.0,0.0
results 23 nov byelection wc city cape town ward 38 anc 6312 1188 good 1585 11 da 1291 9 eff 511 4 udm 126 01 anc retain ward suzanne zumana elected turnout 26,22:11:25 23:57:08,"Pretoria, South Africa","['ANC', 'GOOD', 'DA', 'EFF', 'UDM']",0.7,0.6000000000000001
black people yes said black people non whites never ever make mistake trusting anc vote,22:11:25 19:30:34,"Durban, South Africa",['ANC'],-0.16666666666666666,0.43333333333333335
agreed anc voters complicit fall country,22:11:25 14:22:34,johannesburg,['anc'],0.0,0.0
unfortunately women let women time put first act integrity roles battle anc election2022 microcosm society take golf marketing tool excluded womenempowerment,22:11:25 09:50:33,"Durban, South Africa","['ANC', 'Election2022', 'womenempowerment']",-0.125,0.6666666666666666
