Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
14:12:31 18:51:01,StevenTaylorSA,So #IFP MP kills himself as he couldn't take the pain and still no sign of South Africa getting Medical Marijuana? : ( @Abramjee @lead_sa,0,0,0,0,en,"Cape Town, South Africa",['IFP']
14:12:28 22:08:22,RositaDeHmo,"""@gobiernozac: Capacitó #IFP a 398 policías municipales en #2014 http://t.co/r70ZSi67r0 http://t.co/jLVVJ3igYE""",0,0,0,0,es,México,['IFP']
14:12:28 21:50:04,gobiernozac,Capacitó #IFP a 398 policías municipales en #2014 http://t.co/YqeqEkVl2J http://t.co/PsduWcwv6P,0,0,0,0,es,"Zacatecas, México",['IFP']
14:12:28 17:56:36,Mokgopo_Tilo,"2015, a year before the 2016 local elections, I foresee more fights between the #EFF #ANC and #IFP",0,0,0,0,en,"Polokwane, South Africa","['EFF', 'ANC', 'IFP']"
14:12:26 09:26:11,justReferred,@newsWallCoZa Mzimela defended role of chiefs: #IFP #SouthAfrica http://t.co/W2VmEsYgNL,0,0,0,0,en,South Africa,"['IFP', 'SouthAfrica']"
14:12:26 09:26:10,NewsWallCoZa,Mzimela defended role of chiefs: #IFP #SouthAfrica http://t.co/u26Y4tcfeo,0,0,0,0,en,Cape Town,"['IFP', 'SouthAfrica']"
14:12:25 15:43:40,MopeLovesAsians,@KhrisJWilson merry khrismas homie #ifp,0,0,0,0,fr,"Newfoundland, unfortunately",['ifp']
14:12:24 18:29:20,rkv81290,"People in ol countries r sensitive if their govt. is perceivd 2 b mor concernd about sm othr country's concerns than 2 their own.
#IFP",0,0,0,0,en,"Patna, India",['IFP']
14:12:24 16:56:59,isaacmshweshwe1,"Salute to #EFF members on twitter u did good this Year, But I'm still waiting for #IFP members on twitter to engage them #Asijiki",0,0,1,0,en,Somewhere In Africa,"['EFF', 'IFP', 'Asijiki']"
14:12:24 11:42:21,Marine2Bx,"LT ""Le risque c'est pas UN #bigbrother c'est une infrastructure informationnelle complexe"" #IFP",0,0,0,0,fr,,"['bigbrother', 'IFP']"
14:12:23 18:03:02,Jabu_Buthelezi,I wonder where does one get '1994 The Bloody Miracle' dvd #History #IFP #Politics #SouthAfrica,0,0,0,0,en,purpose driven.,"['History', 'IFP', 'Politics', 'SouthAfrica']"
14:12:23 10:00:46,RobinJPowell,"""If Steve Webb is genuinely shocked (by the #IFP report) he is more of a mug than I take him for"" @henryhtapper http://t.co/73baHBO7PA",1,0,0,0,en,English Midlands,['IFP']
