Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
17:12:31 21:01:15,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKluskffp #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,0,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:31 09:44:36,ifparty123,"この一年間、IFPは日々成長を遂げてきました‼️ みなさんのおかげで素晴らしい国際交流イベントが開催できました🎉😍‼️
来年もみなさんがたのしく、思い出に残る場所を作れるよう、また未知な出会いをプロデュースし続けるために、成長し続けます‼️来年もよろしくお願いします🙇🏻‍♀️  #IFP https://t.co/g7QTHzX3e5",0,0,0,0,ja,"新宿, 渋谷，横浜, 吉祥寺",['IFP']
17:12:31 05:25:16,lusoul26,I think @MYANC should disband the Abaqulusi Region. No wonder people in Vryheid voted for #IFP and will continue to do so. A member proudly telling people to fuck off. Its a damn shame #ArroganceLevel1000,0,0,0,0,en,South Africa,"['IFP', 'ArroganceLevel1000']"
17:12:30 21:00:38,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKluskffp #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,1,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:30 20:55:30,infraphotos,"2017 has been an amazing year! We thank our clients, team and sponsors for their great support! We look forward to more next year #IFP",1,0,1,0,en,Africa,['IFP']
17:12:29 21:00:05,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKluskffp #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,0,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:29 15:30:10,ifparty123,今年ももうすぐ終わりですね⛄️☃️日本の年末年始と言えば何でしょうか？？紅白歌合戦、年越しそば、除夜の鐘、おせち、初詣、、たくさんありますよね☺️日本には誇れる文化がたくさんあります🇯🇵IFPに来た外国人の方に日本についてたくさん知ってもらいましょう！！ #ifp #国際交流 #日本 #japan,0,0,0,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['ifp', '国際交流', '日本', 'japan']"
17:12:29 08:21:42,bukudu,When last did these parties have elective conferences that are democratic to elect their leadership #IFP #COPE #ACDP #NFP #AIC #FFPlus and others,0,0,0,0,en,"KillerPark, Johannesburg South","['IFP', 'COPE', 'ACDP', 'NFP', 'AIC', 'FFPlus']"
17:12:28 21:01:42,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKluskffp #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,0,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:28 19:37:54,MkhulekoHlengwa,#Siyanyuka #IFP #TrustUs #SiyaEmazweni https://t.co/CSga8Fv9jS,3,1,2,0,qme,Republic of South Africa,"['Siyanyuka', 'IFP', 'TrustUs', 'SiyaEmazweni']"
17:12:28 18:39:13,isizulu,#IFP must deal properly with these allegations &amp; process is correct: Bongani Mthethwa: 'IFP accused of pressuring KZN municipality to appoint Princess #Buthelezi's partner': https://t.co/XnT0kA9Fbm via @SowetanLIVE,0,0,0,0,en,,"['IFP', 'Buthelezi']"
17:12:28 11:54:21,ifparty123,"IFPは週一で国際交流を開催しています。トータルで考えると一ヶ月間で約400人の人たちと出会うことができるということです❗️ 素晴らしくないですか？✨✨
さらに、日本だけではなく、世界各国の人々とお話ができ、いろんな価値観を学ぶことができるんです☺️👍
#ifp #国際交流ifp #学生 #学生団体 https://t.co/5uwsyuqQVe",1,0,3,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['ifp', '国際交流ifp', '学生', '学生団体']"
17:12:28 08:42:35,ifparty654,"街には年末感が溢れてますね☺︎でも家に帰ったらこんなものが置いてありました🎁ちょっと遅いですね🎄年が明けたら、またIFPのパーティーに来てくださいな〜〜🎉
#ifp #国際交流 https://t.co/JTRL71jo2c",0,0,0,0,ja,参加希望の方はDMでお願いします💌,"['ifp', '国際交流']"
17:12:28 07:41:02,IFP_Management,4 Types of Disruptive Business https://t.co/0Ldfj3C1Xo #IFP #DisruptiveBusiness #Business https://t.co/WuQ0PqJQJh,0,0,0,0,en,,"['IFP', 'DisruptiveBusiness', 'Business']"
17:12:28 07:39:15,ifparty123,"IFPでは、世界中から日本に来られた人たちの交流をすることができます😳😳😳‼️👍
英語以外にも、スペイン語、ドイツ語、フランス語、韓国語、中国語などなどネイティブに話す方々がたくさんいるので、語学を学んでいる方は、実践してみませんか？！😉👍🏻
 #ifp #国際交流 #学生",0,0,1,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['ifp', '国際交流', '学生']"
17:12:27 10:43:51,SABreakingNews,#IFP fuming after 14-year-old girl is forced the marry. https://t.co/VcrUomKZ0Z Do authorities have a firm handle on forced marriages? https://t.co/qneJxmuoPJ,5,3,11,0,en,South Africa,['IFP']
17:12:27 07:36:28,BraHlonisky,"#EFF = Twitter
#DA = Facebook
#ANC = Instagram
#COPE = Telegram
#IFP= Incwadi encane https://t.co/t7jKAxSKoA",2,1,7,0,en,Court Of Public Opinion,"['EFF', 'DA', 'ANC', 'COPE', 'IFP']"
17:12:26 17:01:12,NewSchool_IA,"WATCH: #SGPIAalum Alex Wynn's film ""From the Outside"" examines refugee camps in Greece &amp; was filmed during last Summer's #IFP - https://t.co/hpQz8kKaIu",0,0,2,0,en,"New York, NY","['SGPIAalum', 'IFP']"
17:12:26 15:53:34,Syanda_Makhanya,"At home #ANC formed part of the culture, there were family members who were #IFP members and it did create some hostilities during gatherings",0,0,0,0,en,Durban,"['ANC', 'IFP']"
17:12:26 12:01:53,ifparty123,"日本と海外のクリスマスの違い🎅🎄
【part5】

クリスマスの食べ物

日本では、デコレーションケーキ、フライドチキン・ローストチキンを食べます🎂🍗

海外ではシンプルなバターケーキやクッキーなどの焼き菓子、七面鳥・羊肉、魚介類をメインに食べます🍪🦃🐚🐟

#ifp #国際交流 #留学 #海外 https://t.co/2x0OhJkg63",0,0,1,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['ifp', '国際交流', '留学', '海外']"
17:12:26 06:10:00,PeninsulaQatar,"Organised in partnership with Independent Filmmaker Project (#IFP), the #SeriesLab by @DohaFilm will help build skills and talents on scripted and non-fiction series projects. 
#Qatar #FilmMaking 
https://t.co/0TB5hXLfyT",1,0,0,0,en,Qatar,"['IFP', 'SeriesLab', 'Qatar', 'FilmMaking']"
17:12:26 00:35:06,ifparty123,"日本と海外のクリスマスの違い🎅🎄
【part1】
 
まず、日本ではクリスマスを恋人と過ごすものが定着していますよね💖

しかし海外では家族と過ごすものが普通なんです！

もし、恋人と海外でロマンチック&amp;豪華に過ごそうと思って行ったらなら、お店が閉まってるので注意です😳❣️

#ifp #国際交流 https://t.co/LSf4ohZ6SD",0,0,3,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['ifp', '国際交流']"
17:12:25 18:42:28,IndiemarchFilm,Merry Christmas from the #IFP family to yours! What’s on everyone’s schedule today? We’ll be kicking back on the couch watching a full slate of @NBA basketball 🎄,0,1,1,0,en,"Las Vegas, NV",['IFP']
17:12:24 21:00:51,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKluskffp #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,0,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:23 21:00:14,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKluskffp #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,0,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:22 21:00:35,Kane007,#Inquisitor will be released in 2017! View the trailer! https://t.co/ArKlus2DQP #Code10Studios #Maui #IFP #CastleShoreFilms #Netflix #Sony,0,0,0,0,en,"Hawaii, USA","['Inquisitor', 'Code10Studios', 'Maui', 'IFP', 'CastleShoreFilms', 'Netflix', 'Sony']"
17:12:22 12:49:34,chisami1999,"ニュージーランドの時のホストメイトにあって、IFPのクリスマス🎄でたのしかったぁ😍🌏💖
#ifp #国際交流 https://t.co/1XWRI9qUwg",0,0,2,0,ja,,"['ifp', '国際交流']"
17:12:22 11:14:51,ifparty123,"IFPは国際交流パーティーを開催する以外に何をやってるの？！と疑問に思った方‼️
パーティーに参加するとそう真相を知ることができます😳😳✨✨

#ifp #留学 #学生 #学生団体 #国際交流 https://t.co/o0bikGigLr",0,0,0,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['ifp', '留学', '学生', '学生団体', '国際交流']"
17:12:22 10:47:57,ifparty123,"今日から大学のお休みにはいった方もいるのではないでしょーか？？💖🎄💖☺️
どんどんサンタも増えクリスマスパーティーらしくなってきました✨✨🎄 #IFP #国際交流 #学生 #学生団体 #留学 #冬休み https://t.co/j2o8n8dgVN",0,0,0,0,ja,"新宿, 渋谷，横浜, 吉祥寺","['IFP', '国際交流', '学生', '学生団体', '留学', '冬休み']"
