Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
22:11:29 15:03:47,ClaudiaButhele1,#HungryLion #BlackLivesMatter #EFF #GBV this is how the staff at hungry lion treat customers and it it's the owners rule as per toilet police attacking the lady in need. # hungrylion🤔 https://t.co/F5rpPIeWs3,0,0,0,0,en,South Africa,"['HungryLion', 'BlackLivesMatter', 'EFF', 'GBV']"
22:11:29 14:35:42,markcarolissen,"@FloydShivambu is dom! @GwedeMantashe1 does not do himself a favour. What AdeR has to do is to get rid of the rot created by the #ANC through cadre deployment &amp; RET. YOU, Minister, contributed to where we are now. That's why he has to be a policeman. The #EFF will do no better-no expertise.",0,1,0,0,en,Cape Town,"['ANC', 'EFF']"
22:11:29 14:29:43,Tsepo__Magalaza,"#EFF
#SpotifyWrapped
 @JuliusMalema
😂😂😂😂Ayyy angisho lutho. https://t.co/h1KjAcLPkK",0,0,0,0,tl,,"['EFF', 'SpotifyWrapped']"
22:11:29 14:20:05,MphoIbrahim,"Lol #EFF is moving with time 😁 many prefer to listen than reading, now EFF statements will be understood by some of us lazy readers 📖😀 https://t.co/QKSrW8s3mf",4,0,17,0,en,"Tembisa, South Africa",['EFF']
22:11:29 13:42:16,Krud,"My effing phone bloonked at me at two in the effing morning eight effing times with automated effing work emails that weren't effing urgent, so now I apparently need to sleep in separate rooms from my phone, or figure out a system for it to mute after midnight or something. #Eff",0,1,2,0,en,The Lesser Chicagoland Area,['Eff']
22:11:29 13:39:35,ubuntu1988,"@tyengeni1954 I still feel as South Africans we the citizens should not give this attention! This is exactly what #media, #eff #anc wants... This is the only way they keep people opressed",0,0,0,0,en,,"['media', 'eff', 'anc']"
22:11:29 11:41:28,3uwan,@theHirohito Anyone in the #eff,0,0,0,0,en,South Africa,['eff']
22:11:29 11:34:53,MarkEccleston1,"My favourite short of this year’s #EFF - ‘Love’… a worthy winner out of an amazing bunch of films.

Thank you ⁦@janeyash⁩ and ⁦@gemmagemsharvey⁩ for your caring approach to #autism 🌷 https://t.co/k12tU8O3Ke",0,0,1,1,en,London,"['EFF', 'autism']"
22:11:29 10:58:26,FaizelPatel143,"‘Stop paying lip service to freedom of Palestine and isolate Israel’ – EFF to UN #PalestineDay #Palestine #Israel #UN #EFF @EFFSouthAfrica 

https://t.co/hM4MBYTuJm",1,0,1,0,en,"Johannesburg, South Africa","['PalestineDay', 'Palestine', 'Israel', 'UN', 'EFF']"
22:11:29 10:35:51,SirMickW,And the #EFF https://t.co/RGGi1ddk6M,0,0,0,0,en,West Australia ,['EFF']
22:11:29 09:04:40,ALETTAHA,"@jeandre_lennox @DA_GPL #anc and #eff politicians, yes.",0,1,0,0,en,CPT SA Defending the underdog☑,"['anc', 'eff']"
22:11:29 08:48:28,MissSeaKhabe,#immigrants #SAPS #Eff #Ramaphosa https://t.co/bB0uPqXHuw,0,0,0,0,qht,,"['immigrants', 'SAPS', 'Eff', 'Ramaphosa']"
22:11:29 08:23:37,madonselasj,They love and celebrate him because they know he killed someone who was going to bring real change to SA. He is a hero to them he saved them. #JanuszWalus #CyrilMustResign #EFF https://t.co/2Mxi1S0xGx,0,0,0,0,en,Middelburg mpumalanga,"['JanuszWalus', 'CyrilMustResign', 'EFF']"
22:11:29 08:00:05,mercaderd,#EFF Red Alert: The SFPD want the power to kill with robots https://t.co/xlDHQmixmf https://t.co/pgUs9KXVxz,0,0,0,0,en,Cartagena-Madrid,['EFF']
22:11:29 06:11:52,Godfath65575132,Economic Freedom Fighter in our lifetime ✊🏿✊🏿#EFF Free State Excelsior Mahlatswetsa Ward 8 https://t.co/CqyympgxXC,0,0,1,0,en,,['EFF']
22:11:29 04:50:32,titusrider,@ZweSibiya Wonder how many people acted on Malema and #EFF words and committed murder against whites 🧐,1,0,4,0,en,"Cape Town, South Africa",['EFF']
22:11:28 22:45:00,matlaelawr,"With Duke Morolong on the streets of Garankuwa doing what we fo best ,#FIFAWorldCupQatar2022 #EFF1MillionMembershipCampaign #EFF48 #eff #ANCNEC #ANC #ANCKZN https://t.co/GZu58ebglf",1,0,4,0,en,"Tshwane, South Africa","['FIFAWorldCupQatar2022', 'EFF1MillionMembershipCampaign', 'EFF48', 'eff', 'ANCNEC', 'ANC', 'ANCKZN']"
22:11:28 21:13:16,P0tat0head,#EFF: Red Alert: The SFPD want the power to kill with robots  https://t.co/9SH99bFY8T,0,0,0,0,en,,['EFF']
22:11:28 20:11:46,levi_segole,"@NelsonQ_Tau Guys maar kgante when is Vodacom sorting this brother out, couz the court said Vodacom is liable, i think its about time the #EFF take this metter and deal woth vodacon ouz they undermind black ppl, if it was a white person suposed kudala he got paid,😤😤",0,0,2,0,en,"Cape Town, South Africa",['EFF']
22:11:28 15:59:09,42566657PL,@Rakgadi_EM Nani aniyeke ukuhala #EFF,0,0,4,0,tl,davos,['EFF']
22:11:28 15:10:37,frontiersci,@EvanKirstel @doctorow @motherboard Would u trust a #digital #landlord or #realestate #agebt? #EFf,0,0,0,0,en,Copenhagen,"['digital', 'landlord', 'realestate', 'agebt', 'EFf']"
22:11:28 14:32:03,frontiersci,At debate meeting in Copenhagen about #digital responsibility  in #gov &amp; social #cervices  @ITU #center for #digital #welfare #EFF #cloud #GDPR #CyberSecirity #Infosec,1,0,1,0,en,Copenhagen,"['digital', 'gov', 'cervices', 'center', 'digital', 'welfare', 'EFF', 'cloud', 'GDPR', 'CyberSecirity', 'Infosec']"
22:11:28 14:06:43,joziman_morwane,"@Phumlani_mad @Julius_S_Malema @CyrilRamaphosa #ActionSA, not #EFF",0,0,0,0,und,"Johannesburg, South Africa","['ActionSA', 'EFF']"
22:11:28 13:55:09,tczikalala,@treasure_mn7 🤣🤣🤣🤣 #EFF,0,0,0,0,und,Soweto,['EFF']
22:11:28 11:35:32,miki88hi_mo,"https://t.co/5c137sBpUp

お久々にblogアップしましたぁー

#アメブロ
#スピリチュアル
#ハンドメイド
#EFF https://t.co/Qyj1TukH4v",0,0,22,0,ja,神奈 横浜市 南区,"['アメブロ', 'スピリチュアル', 'ハンドメイド', 'EFF']"
22:11:28 10:00:47,PangeaRisk,"#Kenya: Forex reserves dip, as government rolls out austerity and #debt treatment | More @ https://t.co/rGFtMSgitZ - https://t.co/jnFl7yJ56o

#CBK #forex #IMF #inflation #Ruto #EFF #debtrestructuring #PangeaRisk https://t.co/hTpjcj3kXw",0,0,0,0,en,Africa & Middle East,"['Kenya', 'debt', 'CBK', 'forex', 'IMF', 'inflation', 'Ruto', 'EFF', 'debtrestructuring', 'PangeaRisk']"
22:11:28 09:04:43,OwenChipen,"If Sisulu &amp; Mabuza complain that nomination processes was breached and are not attended to, they can punish Ramaphosa. All their branch supporters will vote for Mkhize for ANC president. Also all supporters of Nkosazana. #cyrilramaphosa #Djsumbody #EFF",0,0,0,0,en,SouthAfrica.,"['cyrilramaphosa', 'Djsumbody', 'EFF']"
22:11:28 08:58:00,BloggingBread,"""This is an #EFF project that allows you to understand how easy it is to identify and track your #browser based on how it appears to #websites"": https://t.co/uFfIUIN8Pp @eff

#privacy #security #Internet",1,0,1,0,en,,"['EFF', 'browser', 'websites', 'privacy', 'security', 'Internet']"
22:11:28 08:50:41,Zipzapticz,"Things to be thankful for in #SouthAfrica 
#ANC is not #racist 
#EFF is not into #corruption 
#Constitution is not flouted daily
#Judiciary is not compromised
#Kzn #beaches are not #polluted 
#cyril is not incompetent. https://t.co/l29ALR3Nj7",0,0,0,0,en,"Durban, South Africa","['SouthAfrica', 'ANC', 'racist', 'EFF', 'corruption', 'Constitution', 'Judiciary', 'Kzn', 'beaches', 'polluted', 'cyril']"
22:11:28 06:31:38,FaredaVandeKaap,"@OUTASA The #AG, #SAJudiciary #ConCourt: ANY &amp; EVERY entity that dares to face up to the #CorruptComrades in the #ANC &amp; its #RETFaction, as well as its ideological allies in the #SACP #EFF etc, is under attack as the fight to restore the #RuleOfLaw &amp; #integrity in Govt gains momentum!!",4,0,8,0,en,"Cape Town, South Africa","['AG', 'SAJudiciary', 'ConCourt', 'CorruptComrades', 'ANC', 'RETFaction', 'SACP', 'EFF', 'RuleOfLaw', 'integrity']"
22:11:28 05:59:16,TumeloIsaack,@News24 @JKwritingz Wasting time talking about Cyril... even if he buys another term I don't care because #EFF #EFF will be the rulling party after 2024 elections. I have no time to entertain the politics of Cyril Ramaphosa.,0,2,0,0,en,,"['EFF', 'EFF']"
22:11:28 04:55:45,mbatha_83,"#EFF
https://t.co/QYXXwfkkqx https://t.co/3VMm7WeHfi",0,1,0,0,qme,South Africa,['EFF']
22:11:28 04:43:29,JackD157,"@molefaneK @EFFSouthAfrica In all my activism in the Creative Sector, I have been continually encouraged and supported by #EFF fighters. I admire those forthright leaders. But it becomes incredibly difficult for me to vote for the party as long as they prey on race divisions",0,1,0,0,en,,['EFF']
22:11:28 00:37:11,Kieppi1,"Vbs in the headlines again🤣, they are coming for the ""Barstard"" calling politician and his wing man ""Big Money, no Job"" #VBS #thegreatbankheist #EFF #SApoliticsisajoke",0,0,0,0,en,"Cape town, South Africa","['VBS', 'thegreatbankheist', 'EFF', 'SApoliticsisajoke']"
22:11:27 23:40:58,Lliden_Skiny,"Dear @EFF:

I have an idea.

With the political party closing in on 10 years in 2023 I have a solution to make #JuliusMalema president in 2024.

Rebrand the #EFF into the #RepublicAllicance and make the #motto economic freedom fighters.

RA can compete with the DA and ANC

R,
L https://t.co/lX1gL2EAVu",0,0,0,0,en,Llidenville,"['JuliusMalema', 'EFF', 'RepublicAllicance', 'motto']"
22:11:27 21:00:39,MrStashJones,@Our_DA You defended Ramasopha and anyone who went after him... You sent your lawyers on Anti-black missions to our courts. #EFF will be the main opposition in 2024... You guys are too conflicted to oppose @myANC,0,0,0,0,en,"Vereeniging, South Africa",['EFF']
22:11:27 19:28:49,42566657PL,Lento ye #EFF yokuhambe idla nje https://t.co/mzl1qzgbKt,1,0,5,0,sl,davos,['EFF']
22:11:27 17:59:21,gpptsi,"#eff who #canada “Croatia vs Canada” 
https://t.co/5mOG42ihFM",0,0,0,0,en,,"['eff', 'canada']"
22:11:27 16:36:39,DanRussellST,#eff #can,0,0,0,0,qht,"Vancouver, B.C. ","['eff', 'can']"
22:11:27 13:50:57,chfrank_cgn,"The Fediverse Could Be Awesome (If We Don’t Screw It Up)

/by 🐘eff@mastodon.social
/via 🐘charliejane@wandering.shop 

#Mastodon #Fediverse #EFF",0,0,1,0,en,Cologne,"['Mastodon', 'Fediverse', 'EFF']"
