Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:12:31 07:02:15,ak_amy,"@netbuoy Prhps, but equip is needed 4 police & firefighters injured in the line of duty too, & wld serve whole city, not just SW #ANC.",0,0,0,0,en,"iPhone: 61.214172,-149.887238",['ANC']
09:12:30 21:27:11,NowFollowing,Anyone else in Anchorage going downtown for fireworks for tomorrow night? #ANC,0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:30 17:14:18,flyfromANC,"$1603r/t Rio de Janeiro from Anchorage, next winter down 6% [http://bit.ly/4WMKIZ] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:30 02:17:26,catpoetry,"#anc rt: @adndotcom Word is there's no waiting for free h1n1 flu shots @ Romig right now. Walk in, walk out in under 5 minutes. Ends at 8.",0,0,0,0,en,Alaska SF NYC,['anc']
09:12:30 00:48:47,ak_amy,"@Sarah_at_HAL Going to a shmancy dinner party here in #ANC, and really happy I won't be throwing elbows for every drink at some crowded bar.",0,0,0,0,en,"iPhone: 61.214172,-149.887238",['ANC']
09:12:29 18:08:47,insidethegames,Tickets on sale for African Nations Cup a week late http://ow.ly/QP4i #angola #anc,0,0,0,0,en,,"['angola', 'anc']"
09:12:29 09:44:07,DiepkloofTown,Our South African team is lined up to meet with some #ANC and Maputo officials and the Premier of KwaZulu-Natal next week ANC,0,0,0,0,en,"Diepkloof, Johannesburg, RSA",['ANC']
09:12:29 02:13:43,flyfromANC,"$1255r/t Moscow from Anchorage, next winter or next spring down 8% [http://bit.ly/74gzpU] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:28 22:19:57,kjonesphd,@paoloterni Flying into #ANC or taking a cruise ship up the inland passage? I know you aren't driving to Alaska :),0,0,0,0,en,"Anchorage, Alaska",['ANC']
09:12:27 21:41:04,jessejoseph,I am looking for beginners square dancing lessons in #ANC. Recommendations would be wonderful.,0,0,0,0,en,"ÜT: 61.053289,-149.795576",['ANC']
09:12:26 10:10:07,travel_deal,$air #anc#pnh Cheap flights from Anchorage to Phnom Penh starting from $1444: Alaska Airlines roundtrip flight goin... http://bit.ly/6hYSO3,0,0,0,0,en,,
09:12:24 12:29:50,travel_deal,$air #anc#abq Cheap flights from Anchorage to Albuquerque starting from $596: Delta Airlines roundtrip flight going... http://bit.ly/8lfnZL,0,0,0,0,en,,
09:12:24 06:53:08,travel_deal,$air #anc#abq Cheap flights from Anchorage to Albuquerque starting from $587: Delta Airlines roundtrip flight going... http://bit.ly/8irt1n,0,0,0,0,en,,
09:12:23 21:12:42,travel_deal,$air #anc#abq Cheap flights from Anchorage to Albuquerque starting from $587: Delta Airlines roundtrip flight going... http://bit.ly/7t1hHF,0,0,0,0,en,,
09:12:23 19:47:09,ThompsonPR,Looking for bears at the Anchorage airport. How many do you think we'll find? #ANC #Alaska #wildlife,1,0,0,0,en,"Anchorage, Alaska","['ANC', 'Alaska', 'wildlife']"
09:12:22 22:33:07,AEDCweb,A special happy holidays video message from your friends at AEDC. http://bit.ly/7GvKSL #ANC #Alaska,0,0,0,0,en,"Anchorage, Alaska","['ANC', 'Alaska']"
09:12:22 17:18:36,GerhardBigG,#SABC suspend @garethcliff from #5fm! Instruction from #ANC or Julius Malema?,0,0,0,0,en,"Skelton, England","['SABC', '5fm', 'ANC']"
09:12:22 10:26:15,travel_deal,$air #anc#mem Cheap flights from Anchorage to Memphis starting from $1333: Us Airways roundtrip flight going on the... http://bit.ly/7mfzLv,0,0,0,0,en,,
09:12:22 03:18:07,akthom49,RT @Jenthom11: RT @ThompsonPR: We are proud to work with the Anch Police Dept Employees Assoc. and all they do for #ANC http://bit.ly/5VydIr,0,0,0,0,en,AK,['ANC']
09:12:21 05:38:03,travel_deal,$air #anc#geg Cheap flights from Anchorage to Spokane starting from $669: Alaska Airlines roundtrip flight going on... http://bit.ly/4reosF,0,0,0,0,en,,
09:12:21 01:38:55,flyfromANC,"$822r/t London from Anchorage, next winter or next spring down 17% [http://bit.ly/6NKshn] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:21 01:38:55,flyfromANC,"$825r/t Manchester from Anchorage, next winter or next spring down 16% [http://bit.ly/5HZIOW] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:20 08:13:58,jessejoseph,"I wish there were liquor stores that delivered in #ANC. There arn't any, are there?",0,0,0,0,en,"ÜT: 61.053289,-149.795576",['ANC']
09:12:20 04:17:52,travel_deal,$air #anc#msy Cheap flights from Anchorage to New Orleans starting from $1018: United Airlines roundtrip flight goi... http://bit.ly/5CYoB4,0,0,0,0,en,,
09:12:20 04:08:25,ayatlin,http://twitpic.com/uahdo - Beautiful flower lights display @ Mann Leiser Memorial Greenhouses @ entrance to Russian Jack Park in #ANC,0,0,0,0,en,Anchorage,['ANC']
09:12:20 03:47:02,travel_deal,$air #anc#dfw Cheap flights from Anchorage to Dallas starting from $1365: Alaska Airlines roundtrip flight going on... http://bit.ly/4Kg4sC,0,0,0,0,en,,
09:12:19 16:52:16,ayatlin,"The Koyukon Athabascan word for cold is adzoo (sp). It is 0 in #ANC & -36 in Huslia. It's so cold, I don't want to get the paper.",0,0,0,0,en,Anchorage,['ANC']
09:12:19 09:22:19,flyfromANC,"$817r/t Madrid from Anchorage, winter or next spring down 7% [http://bit.ly/5WM3rh] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:19 09:22:18,flyfromANC,"$1101r/t Turin from Anchorage, winter or next spring down 13% [http://bit.ly/5KhwTg] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:19 07:06:06,ThompsonPR,"How exciting, we're up and running ahead of schedule. #ANC #Alaska #pr",0,0,0,0,en,"Anchorage, Alaska","['ANC', 'Alaska', 'pr']"
09:12:19 02:34:34,playadn,"Co-sign @puka03 Me too!! RT: @alaskamom If #ANC had a drive through Pho place, I'd go all the time.",0,0,0,0,en,"Anchorage, Alaska",['ANC']
09:12:19 01:56:18,Valette,"Traffic backed up Dimond at Arctic, all three lanes. Either a terrible accident ahead, or this is seriously all of #ANC going to Costco.",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:19 00:45:24,travel_deal,$air #anc#mnl Cheap flights from Anchorage to Manila starting from $1067: Alaska Airlines roundtrip flight going on... http://bit.ly/8Fb7F7,0,0,0,0,en,,
09:12:18 22:25:00,alaskamom,"If #ANC had a drive through Pho place, I'd go all the time.",0,0,0,0,en,"iPhone: 61.218315,-149.891968",['ANC']
09:12:18 16:57:33,Taraballs,Can someone Plz point me in the direction of a great heat repair co.? #ANC HEATER IS SHOOTIN FLAMES! AAGH!,0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:17 21:50:36,kaladibrothers,RT @BigWildLife: Have U made your New Year's Eve plans? Check out the awesome things going on in #ANC & ring in 2010 http://bit.ly/15kMBz,0,0,0,0,en,"Anchorage, Alaska",['ANC']
09:12:17 21:19:04,TwitToNande,Quite the morning digging cars out and shoveling. Drive with care today #ANC! (via @KaladiBrothers),0,0,0,0,en,🇺🇸 ,['ANC']
09:12:17 19:51:20,redrummy,"@conorporter You're really on board with this chokehold thing, aren't you? We're lucky in #ANC because we have a new 3G network & few users.",0,0,0,0,en,"Dena'ina Land, Alaska",['ANC']
09:12:17 18:56:48,gary_scott,"New web site for http://www.AlyeskaResort.com. Took some getting used to, but I like. Your thoughts? #ski #ANC #snow",0,0,0,0,en,Anchorage,"['ski', 'ANC', 'snow']"
09:12:17 17:44:36,kaladibrothers,Quite the morning digging cars out and shoveling. Drive with care today #ANC!,0,0,0,0,en,"Anchorage, Alaska",['ANC']
09:12:17 09:54:43,flyfromANC,"$1003r/t Frankfurt from Anchorage, winter or next spring down 5% [http://bit.ly/4r5OQg] #ANC",0,0,1,0,en,"Anchorage, AK",['ANC']
09:12:17 09:54:42,flyfromANC,"$1011r/t Munich from Anchorage, winter or next spring down 5% [http://bit.ly/4OoR58] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:17 00:38:36,flyfromANC,"$1161r/t Bangkok from Anchorage, next winter down 7% [http://bit.ly/4FtySH] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:17 00:38:35,flyfromANC,"$1066r/t Dusseldorf from Anchorage, winter or next spring down 77% [http://bit.ly/54NZFz] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:16 23:53:46,flyfromANC,"$1176r/t Frankfurt from Anchorage, winter thru next fall down 56% [http://bit.ly/8kUVbs] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:16 23:53:46,flyfromANC,"$1081r/t Madrid from Anchorage, next fall down 11% [http://bit.ly/8X9plH] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:16 23:53:44,flyfromANC,"$1074r/t Munich from Anchorage, next winter or next spring down 9% [http://bit.ly/8qArlR] #ANC",0,0,0,0,en,"Anchorage, AK",['ANC']
09:12:16 23:17:30,Jenthom11,You mean the SUN?  :) RT @akthom49: First sighting of the sum in #ANC in over a week. Wahoo sun! http://twitpic.com/tsv4d,0,0,0,0,en,"Anchorage, Alaska",['ANC']
