Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:12:31 23:43:54,poetic_jaszy,"Where the #eff do these mean, ignorant people come from? Ugh. Irritating my gangster. Please #returnbacktosender.",0,0,0,0,en,Evolving ,"['eff', 'returnbacktosender']"
09:12:31 23:07:37,DJNANDOLMP,RT @tinkerbell1731: #EFF @Djskream @djpeso @dj_sole @djbswift @djeddieone @raqc @sandrapena @fashionmommy411 @djnandophx @djwerks,0,0,0,0,qme,Phoenix/Scottsdale/Tempe AZ,['EFF']
09:12:31 22:59:56,tinkerbell1731,#EFF @Djskream @djpeso @dj_sole @djbswift @djeddieone @raqc @sandrapena @fashionmommy411 @djnandophx @djwerks @deejayikon @djwhiteboi,1,0,0,0,qme,U.S.of.A ,['EFF']
09:12:31 22:56:52,DJMOSKA,RT @tinkerbell1731: #EFF @cesicakes @djmoska @djladyphizz @sexicleo @jojo10040 @oliverisloco @veeveemarie @djrocko1,0,0,0,0,qme,"iPhone: 34.174969,-118.370384",['EFF']
09:12:31 22:56:52,tinkerbell1731,#EFF (early follow friday) lets go...!!!!,0,0,0,0,en,U.S.of.A ,['EFF']
09:12:31 22:55:21,tinkerbell1731,#EFF @cesicakes @djmoska @djladyphizz @sexicleo @jojo10040 @oliverisloco @veeveemarie @djrocko1,1,0,0,0,qme,U.S.of.A ,['EFF']
09:12:31 22:02:07,tinkerbell1731,we all got to do the #EFF (early follow friday) cuz no ones gonna be doing it tomorrow lmao,0,0,0,0,en,U.S.of.A ,['EFF']
09:12:31 17:58:50,Brown_MonaLisa_,That's #eff'dup this chick just ratted out her bf for killing her husband!,0,0,0,0,en,,['eff']
09:12:31 12:42:28,wikileaksbot,"TwSearch: @ time for some donation, again. #wikileaks #CO-OP #EFF #indiegames: time for some donatio.. http://bit.ly/89UGqg",0,0,0,0,en,the Netherlands,"['wikileaks', 'CO', 'EFF', 'indiegames']"
09:12:31 05:59:59,poetic_jaszy,"#10timesoutof10 When you're mad at the world,you lack good judgment and #eff up the world. Lmao...but seriously.",0,0,0,0,en,Evolving ,"['10timesoutof10', 'eff']"
