Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:12:30 17:04:39,PaulLarrouturou,je vous recommande le reportage radio ( #rfi) du camarade Vincent sur les réfugiés afghans &gt; http://bit.ly/7aGrnK #ifp,0,0,0,0,fr,France,"['rfi', 'ifp']"
09:12:27 16:35:59,PaulLarrouturou,"Brèves de trottoirs, deuxième épisode : Violette, la fleuriste du Vème. http://bit.ly/7DAUSY #webdocu #ifp",0,0,0,0,fr,France,"['webdocu', 'ifp']"
09:12:23 11:51:00,IFPIndia,#IFP- IFP has long believed that providing educational opportunities to talented people who use their knowledge to improve their societies,0,0,0,0,en,India,['IFP']
09:12:23 11:44:24,IFPIndia,"#IFP- Last date for applying for Fellowship has been extended to Jan 04, 2009..Please apply before Jan 04, 2009",0,0,0,0,en,India,['IFP']
09:12:23 11:43:51,IFPIndia,#IFP-  Pre-application  forms  for the fellowship program are available at http://bit.ly/1pp8Ik....,0,0,0,0,en,India,['IFP']
09:12:20 11:28:48,kidPLayboy,me and the homey @cmor3 be steady mobbin...fuck deez bitches...I swear we care bout everything but these bitches #ifp-mix,0,0,0,0,en,always beside you,['ifp']
09:12:18 16:44:54,IFPjournalisme,"Dernier entretien avant les vacances : Frédéric Filloux, fondateur de ""20 Minutes"", en mission pour l'AFP. #IFP
http://yfrog.com/1y1anmj",1,0,0,0,fr,Paris,['IFP']
09:12:18 13:50:54,PaulLarrouturou,"après Plenel ce matin, cette aprèm Frédéric Fillioux (fdateur ""20Minutes"")est à l' #ifp &gt; http://bit.ly/8QxJ39
#changementderegistre",0,0,0,0,fr,France,"['ifp', 'changementderegistre']"
09:12:18 13:12:20,IFPjournalisme,"Edwy #Plenel était ce matin à l' #IFP pour 3h palpitantes sur journalisme, politique, gratuité, sarkozysme.  
http://yfrog.com/1e5f4qj",1,0,0,0,fr,Paris,"['Plenel', 'IFP']"
09:12:18 11:20:04,mariekirschen,RT @PaulLarrouturou j'ai reçu la consigne de ne point gazouiller la venue de Plenel à l' #IFP. #cestlafauteducfj,0,0,0,0,fr,Paris,"['IFP', 'cestlafauteducfj']"
09:12:18 11:17:56,guillaumepajot,RT @PaulLarrouturou j'ai reçu la consigne de ne point gazouiller la venue de Plenel à l' #IFP. #cestlafauteducfj,0,0,0,0,fr,France/Myanmar,"['IFP', 'cestlafauteducfj']"
09:12:18 11:15:13,PaulLarrouturou,"bon, bah désolé, j'ai reçu la consigne de ne point gazouiller la venue de Plenel à l' #IFP. Dommage, il envoie du bois. #cestlafauteducfj",0,0,0,0,fr,France,"['IFP', 'cestlafauteducfj']"
