,Text,Datetime,Location,Hashtags
0,"team 275mark your yourselves by doing the needful  
remember we did this beforewe can still do it namanje

sms 275 to 37304 to vote for thembabroly
thembabroly 
vote for thembabroly ",22:11:29 07:58:04,Johannesburg ,['ThembaBroly']
1," son parlement dunion sacr e a d j  vot  pour refuser toute n gotiation avec le m23
plusieurs politiques multiplient les appels   ne plus int grer personne dans les plans de ddrr

encore une annonce vide du pr sidentpromesses rdc drc congo",22:11:29 07:57:07,"Johannesburg, South Africa","['M23', 'rdc', 'drc', 'congo']"
2, is this the brain you use everyday i do follow ed and chamisa im glad to say i will vote ccc,22:11:29 07:50:57,"Johannesburg, South Africa",['CCC']
3, i vote for felix from straykids for top100mosthandsomeface ,22:11:29 07:35:05,"Soweto, South Africa","['Felix', 'StrayKids', 'TOP100MostHandsomeFace']"
4,"its final push to get gospel genre in the fm top 10 on nye please vote for us sms ingoma andile kamajola ngiyothokoza ngojehovah to 33665 sms as many times to stand a chance to win great prizes like the r2500 voucher from blaq clothing line 

singenangegospelku2023 ",22:11:29 07:09:50,South Africa,['SingenaNgeGospelKu2023']
5,"is there no vote of confidence in running fraternity
runningforlife
runningwithtumisole 
solorunner
inspiredthroughrunning ",22:11:29 06:32:58,"KibLer Park, South Africa","['RunningForLife', 'RunningWithTumiSole', 'SoloRunner', 'InspiredThroughRunning']"
6, vote out status sqo  ,22:11:29 06:29:43,"Benoni, South Africa",['Vote']
7, i vote seungmin of straykids for top100mosthandsomefaces   ,22:11:29 06:21:07,South Africa ,"['Seungmin', 'StrayKids', 'TOP100MostHandsomeFaces']"
8,what will the  word of the year  be you only have a few days to vote  via  allcapetown capetown ,22:11:29 05:46:33,Cape Town,"['AllCapeTown', 'CapeTown']"
9, vote  vote  and  to recovernigeria,22:11:29 05:37:14,"Pretoria, South Africa",['RecoverNigeria']
10,viewer question chris hanis killer janusz walus has been granted permanent residency in south africa to serve out his parole here  what do you think  vote on  you can also have your say on our social media platforms southafricanmorning dstv403 ,22:11:29 04:21:15,South Africa,"['SouthAfricanMorning', 'DStv403']"
11,"your faith level is inspiring ghost 

vote for thembabroly as the most social media content creator and stand a chance to win  sms 275 to 37304 sms cost r150

thembabrolyxnewdawnvideo
thembabrolyxindodaayikhali

 ",22:11:29 04:20:54,South Africa,"['ThembaBroly', 'ThembaBrolyXNewDawnVideo', 'ThembaBrolyxIndodaAyikhali']"
12,"themba is art art is themba 

vote for thembabroly as the most social media content creator and stand a chance to win  sms 275 to 37304 sms cost r150

thembabrolyxnewdawnvideo
thembabrolyxindodaayikhali

 ",22:11:29 04:20:51,South Africa,"['ThembaBroly', 'ThembaBrolyXNewDawnVideo', 'ThembaBrolyxIndodaAyikhali']"
13,"03 december were doing shorts and shades e alexander 

vote for thembabroly as the most social media content creator and stand a chance to win  sms 275 to 37304 sms cost r150

thembabrolyxnewdawnvideo
thembabrolyxindodaayikhali

 ",22:11:29 04:20:18,South Africa,"['ThembaBroly', 'ThembaBrolyXNewDawnVideo', 'ThembaBrolyxIndodaAyikhali']"
14, i vote for felix from straykids for top100mosthandsomefaces ,22:11:29 04:12:23,"Soweto, South Africa","['Felix', 'StrayKids', 'TOP100MostHandsomeFaces']"
15,"the november pretty baby competition ends tomorrow at midnight you still have time to vote until then so make them count visit  to register and vote cellphone numbers must be verified before voting can commence
prettybabyza pretty baby competition ",22:11:29 04:00:48,South Africa,"['prettybabyza', 'pretty', 'baby', 'competition']"
16,"the november pretty kid competition ends tomorrow at midnight you still have time to vote until then so make them count visit  to register and vote cellphone numbers must be verified before voting can commence
prettykidza pretty kid competition ",22:11:29 04:00:48,South Africa,"['prettykidza', 'pretty', 'kid', 'competition']"
17,"the november pretty pets competition ends tomorrow at midnight you still have time to vote until then so make them count visit  to register and vote cellphone numbers must be verified before voting can commence
prettypetsza pretty pets competition ",22:11:29 04:00:48,South Africa,"['prettypetsza', 'pretty', 'pets', 'competition']"
